Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Employment to population rate (%)
Melbourne - North East,2020/04/01,65 years and over,Males,16.53713963
Melbourne - North East,2020/04/01,65 years and over,Females,10.0615752
Melbourne - North East,2020/03/01,15-24 years,Males,56.06213309
Melbourne - North East,2020/03/01,15-24 years,Females,60.20999266
Melbourne - North East,2020/03/01,25-34 years,Males,87.52591514
Melbourne - North East,2020/03/01,25-34 years,Females,76.64078722
Melbourne - North East,2020/03/01,35-44 years,Males,90.44472443
Melbourne - North East,2020/03/01,35-44 years,Females,75.93527906
Melbourne - North East,2020/03/01,45-54 years,Males,85.38868942
Melbourne - North East,2020/03/01,45-54 years,Females,75.42508601
Melbourne - North East,2020/03/01,55-64 years,Males,75.36589562
Melbourne - North East,2020/03/01,55-64 years,Females,58.9317721
Melbourne - North East,2020/03/01,65 years and over,Males,18.18077697
Melbourne - North East,2020/03/01,65 years and over,Females,11.01927429
Melbourne - North East,2020/02/01,15-24 years,Males,56.65254291
Melbourne - North East,2020/02/01,15-24 years,Females,61.7538361
Melbourne - North East,2020/02/01,25-34 years,Males,87.47142619
Melbourne - North East,2020/02/01,25-34 years,Females,76.76758973
Melbourne - North East,2020/02/01,35-44 years,Males,90.20368963
Melbourne - North East,2020/02/01,35-44 years,Females,75.69727855
Melbourne - North East,2020/02/01,45-54 years,Males,85.25146497
Melbourne - North East,2020/02/01,45-54 years,Females,75.31959972
Melbourne - North East,2020/02/01,55-64 years,Males,74.98071206
Melbourne - North East,2020/02/01,55-64 years,Females,58.98947505
Melbourne - North East,2020/02/01,65 years and over,Males,18.57410763
Melbourne - North East,2020/02/01,65 years and over,Females,11.17932891
Melbourne - North East,2020/01/01,15-24 years,Males,56.79904714
Melbourne - North East,2020/01/01,15-24 years,Females,62.01599811
Melbourne - North East,2020/01/01,25-34 years,Males,87.51754372
Melbourne - North East,2020/01/01,25-34 years,Females,76.04540467
Melbourne - North East,2020/01/01,35-44 years,Males,90.03252204
Melbourne - North East,2020/01/01,35-44 years,Females,75.10349483
Melbourne - North East,2020/01/01,45-54 years,Males,85.00450559
Melbourne - North East,2020/01/01,45-54 years,Females,74.88087277
Melbourne - North East,2020/01/01,55-64 years,Males,74.09271226
Melbourne - North East,2020/01/01,55-64 years,Females,57.83816737
Melbourne - North East,2020/01/01,65 years and over,Males,18.02427489
Melbourne - North East,2020/01/01,65 years and over,Females,10.82593207
Melbourne - North East,2019/12/01,15-24 years,Males,59.7061238
Melbourne - North East,2019/12/01,15-24 years,Females,64.55582884
Melbourne - North East,2019/12/01,25-34 years,Males,88.26509878
Melbourne - North East,2019/12/01,25-34 years,Females,77.06014114
Melbourne - North East,2019/12/01,35-44 years,Males,90.50831347
Melbourne - North East,2019/12/01,35-44 years,Females,76.55902626
Melbourne - North East,2019/12/01,45-54 years,Males,85.65055211
Melbourne - North East,2019/12/01,45-54 years,Females,76.27310412
Melbourne - North East,2019/12/01,55-64 years,Males,75.22952189
Melbourne - North East,2019/12/01,55-64 years,Females,59.16288351
Melbourne - North East,2019/12/01,65 years and over,Males,19.22353551
Melbourne - North East,2019/12/01,65 years and over,Females,11.76153772
Melbourne - North East,2019/11/01,15-24 years,Males,57.83222648
Melbourne - North East,2019/11/01,15-24 years,Females,62.52876699
Melbourne - North East,2019/11/01,25-34 years,Males,88.41917087
Melbourne - North East,2019/11/01,25-34 years,Females,76.55083189
Melbourne - North East,2019/11/01,35-44 years,Males,90.41153701
Melbourne - North East,2019/11/01,35-44 years,Females,76.6010557
Melbourne - North East,2019/11/01,45-54 years,Males,85.55219772
Melbourne - North East,2019/11/01,45-54 years,Females,76.38635521
Melbourne - North East,2019/11/01,55-64 years,Males,74.98528677
Melbourne - North East,2019/11/01,55-64 years,Females,58.55915139
Melbourne - North East,2019/11/01,65 years and over,Males,18.96243154
Melbourne - North East,2019/11/01,65 years and over,Females,11.73649046
Melbourne - North East,2019/10/01,15-24 years,Males,56.80495131
Melbourne - North East,2019/10/01,15-24 years,Females,61.78536109
Melbourne - North East,2019/10/01,25-34 years,Males,88.34734163
Melbourne - North East,2019/10/01,25-34 years,Females,75.86717595
Melbourne - North East,2019/10/01,35-44 years,Males,90.00254625
Melbourne - North East,2019/10/01,35-44 years,Females,76.57889063
Melbourne - North East,2019/10/01,45-54 years,Males,85.51349332
Melbourne - North East,2019/10/01,45-54 years,Females,76.55242309
Melbourne - North East,2019/10/01,55-64 years,Males,74.94200844
Melbourne - North East,2019/10/01,55-64 years,Females,58.18461899
Melbourne - North East,2019/10/01,65 years and over,Males,18.82362527
Melbourne - North East,2019/10/01,65 years and over,Females,11.6111118
Melbourne - North East,2019/09/01,15-24 years,Males,56.95330781
Melbourne - North East,2019/09/01,15-24 years,Females,60.97524726
Melbourne - North East,2019/09/01,25-34 years,Males,88.34934273
Melbourne - North East,2019/09/01,25-34 years,Females,75.36123175
Melbourne - North East,2019/09/01,35-44 years,Males,89.57199242
Melbourne - North East,2019/09/01,35-44 years,Females,76.64761659
Melbourne - North East,2019/09/01,45-54 years,Males,85.51655899
Melbourne - North East,2019/09/01,45-54 years,Females,76.79526025
Melbourne - North East,2019/09/01,55-64 years,Males,75.14623664
Melbourne - North East,2019/09/01,55-64 years,Females,58.43182598
Melbourne - North East,2019/09/01,65 years and over,Males,19.09937349
Melbourne - North East,2019/09/01,65 years and over,Females,11.69323711
Melbourne - North East,2019/08/01,15-24 years,Males,57.60186712
Melbourne - North East,2019/08/01,15-24 years,Females,60.2672862
Melbourne - North East,2019/08/01,25-34 years,Males,88.54535615
Melbourne - North East,2019/08/01,25-34 years,Females,74.85878599
Melbourne - North East,2019/08/01,35-44 years,Males,89.21568177
Melbourne - North East,2019/08/01,35-44 years,Females,76.55244482
Melbourne - North East,2019/08/01,45-54 years,Males,85.69387951
Melbourne - North East,2019/08/01,45-54 years,Females,76.79617121
Melbourne - North East,2019/08/01,55-64 years,Males,74.99553721
Melbourne - North East,2019/08/01,55-64 years,Females,58.69419263
Melbourne - North East,2019/08/01,65 years and over,Males,19.06936199
Melbourne - North East,2019/08/01,65 years and over,Females,11.49715231
Melbourne - North East,2019/07/01,15-24 years,Males,58.49272581
Melbourne - North East,2019/07/01,15-24 years,Females,61.5265906
Melbourne - North East,2019/07/01,25-34 years,Males,88.81549549
Melbourne - North East,2019/07/01,25-34 years,Females,74.45774631
Melbourne - North East,2019/07/01,35-44 years,Males,89.07955013
Melbourne - North East,2019/07/01,35-44 years,Females,76.43439848
Melbourne - North East,2019/07/01,45-54 years,Males,85.68999312
Melbourne - North East,2019/07/01,45-54 years,Females,76.53943317
Melbourne - North East,2019/07/01,55-64 years,Males,74.85519734
Melbourne - North East,2019/07/01,55-64 years,Females,58.74114882
Melbourne - North East,2019/07/01,65 years and over,Males,18.75621479
Melbourne - North East,2019/07/01,65 years and over,Females,11.23722338
Melbourne - North East,2019/06/01,15-24 years,Males,58.78235106
Melbourne - North East,2019/06/01,15-24 years,Females,61.36772348
Melbourne - North East,2019/06/01,25-34 years,Males,89.05465432
Melbourne - North East,2019/06/01,25-34 years,Females,74.33486266
Melbourne - North East,2019/06/01,35-44 years,Males,89.0178253
Melbourne - North East,2019/06/01,35-44 years,Females,76.61782677
Melbourne - North East,2019/06/01,45-54 years,Males,85.73152046
Melbourne - North East,2019/06/01,45-54 years,Females,76.15930649
Melbourne - North East,2019/06/01,55-64 years,Males,74.5243994
Melbourne - North East,2019/06/01,55-64 years,Females,58.74435659
Melbourne - North East,2019/06/01,65 years and over,Males,18.36229698
Melbourne - North East,2019/06/01,65 years and over,Females,10.91559866
Melbourne - North East,2019/05/01,15-24 years,Males,59.82331799
Melbourne - North East,2019/05/01,15-24 years,Females,61.59782511
Melbourne - North East,2019/05/01,25-34 years,Males,89.11936325
Melbourne - North East,2019/05/01,25-34 years,Females,74.56222029
Melbourne - North East,2019/05/01,35-44 years,Males,89.10438931
Melbourne - North East,2019/05/01,35-44 years,Females,76.83923714
Melbourne - North East,2019/05/01,45-54 years,Males,86.05836027
Melbourne - North East,2019/05/01,45-54 years,Females,76.13216254
Melbourne - North East,2019/05/01,55-64 years,Males,74.38506625
Melbourne - North East,2019/05/01,55-64 years,Females,59.18226446
Melbourne - North East,2019/05/01,65 years and over,Males,18.30754469
Melbourne - North East,2019/05/01,65 years and over,Females,10.72696706
Melbourne - North East,2019/04/01,15-24 years,Males,59.30135798
Melbourne - North East,2019/04/01,15-24 years,Females,60.77227043
Melbourne - North East,2019/04/01,25-34 years,Males,88.74330671
Melbourne - North East,2019/04/01,25-34 years,Females,74.18309132
Melbourne - North East,2019/04/01,35-44 years,Males,88.76230644
Melbourne - North East,2019/04/01,35-44 years,Females,76.33489641
Melbourne - North East,2019/04/01,45-54 years,Males,85.93481151
Melbourne - North East,2019/04/01,45-54 years,Females,75.52334993
Melbourne - North East,2019/04/01,55-64 years,Males,73.87577354
Melbourne - North East,2019/04/01,55-64 years,Females,59.07349092
Melbourne - North East,2019/04/01,65 years and over,Males,17.7467645
Melbourne - North East,2019/04/01,65 years and over,Females,10.19814368
Melbourne - North East,2019/03/01,15-24 years,Males,59.45893893
Melbourne - North East,2019/03/01,15-24 years,Females,60.93820823
Melbourne - North East,2019/03/01,25-34 years,Males,89.20070341
Melbourne - North East,2019/03/01,25-34 years,Females,74.13627707
Melbourne - North East,2019/03/01,35-44 years,Males,88.77128337
Melbourne - North East,2019/03/01,35-44 years,Females,76.64770866
Melbourne - North East,2019/03/01,45-54 years,Males,86.37710346
Melbourne - North East,2019/03/01,45-54 years,Females,75.75285903
Melbourne - North East,2019/03/01,55-64 years,Males,74.36379823
Melbourne - North East,2019/03/01,55-64 years,Females,59.60714361
Melbourne - North East,2019/03/01,65 years and over,Males,17.77112011
Melbourne - North East,2019/03/01,65 years and over,Females,10.07460111
Melbourne - North East,2019/02/01,15-24 years,Males,59.63810334
Melbourne - North East,2019/02/01,15-24 years,Females,61.8656746
Melbourne - North East,2019/02/01,25-34 years,Males,89.29427258
Melbourne - North East,2019/02/01,25-34 years,Females,74.62066052
Melbourne - North East,2019/02/01,35-44 years,Males,88.55217844
Melbourne - North East,2019/02/01,35-44 years,Females,76.85860287
Melbourne - North East,2019/02/01,45-54 years,Males,86.35012458
Melbourne - North East,2019/02/01,45-54 years,Females,75.64099019
Melbourne - North East,2019/02/01,55-64 years,Males,74.91676335
Melbourne - North East,2019/02/01,55-64 years,Females,60.06089894
Melbourne - North East,2019/02/01,65 years and over,Males,17.9827762
Melbourne - North East,2019/02/01,65 years and over,Females,10.04177454
Melbourne - North East,2019/01/01,15-24 years,Males,58.43966881
Melbourne - North East,2019/01/01,15-24 years,Females,61.1389398
Melbourne - North East,2019/01/01,25-34 years,Males,88.78178958
Melbourne - North East,2019/01/01,25-34 years,Females,73.85925199
Melbourne - North East,2019/01/01,35-44 years,Males,88.19398361
Melbourne - North East,2019/01/01,35-44 years,Females,75.8031473
Melbourne - North East,2019/01/01,45-54 years,Males,85.87266951
Melbourne - North East,2019/01/01,45-54 years,Females,74.35944081
Melbourne - North East,2019/01/01,55-64 years,Males,74.10209644
Melbourne - North East,2019/01/01,55-64 years,Females,58.49183456
Melbourne - North East,2019/01/01,65 years and over,Males,17.04306047
Melbourne - North East,2019/01/01,65 years and over,Females,9.373865183
Melbourne - North East,2018/12/01,15-24 years,Males,59.84406089
Melbourne - North East,2018/12/01,15-24 years,Females,63.50147471
Melbourne - North East,2018/12/01,25-34 years,Males,89.42262868
Melbourne - North East,2018/12/01,25-34 years,Females,75.00630499
Melbourne - North East,2018/12/01,35-44 years,Males,89.43930121
Melbourne - North East,2018/12/01,35-44 years,Females,77.03195723
Melbourne - North East,2018/12/01,45-54 years,Males,86.77599299
Melbourne - North East,2018/12/01,45-54 years,Females,75.49961083
Melbourne - North East,2018/12/01,55-64 years,Males,75.25629319
Melbourne - North East,2018/12/01,55-64 years,Females,59.73782164
Melbourne - North East,2018/12/01,65 years and over,Males,17.87268187
Melbourne - North East,2018/12/01,65 years and over,Females,9.823271967
Melbourne - North East,2018/11/01,15-24 years,Males,57.30869932
Melbourne - North East,2018/11/01,15-24 years,Females,61.18683366
Melbourne - North East,2018/11/01,25-34 years,Males,89.3060774
Melbourne - North East,2018/11/01,25-34 years,Females,74.57898434
Melbourne - North East,2018/11/01,35-44 years,Males,89.66666053
Melbourne - North East,2018/11/01,35-44 years,Females,76.81678631
Melbourne - North East,2018/11/01,45-54 years,Males,86.86242272
Melbourne - North East,2018/11/01,45-54 years,Females,75.22893632
Melbourne - North East,2018/11/01,55-64 years,Males,75.15015987
Melbourne - North East,2018/11/01,55-64 years,Females,59.02437689
Melbourne - North East,2018/11/01,65 years and over,Males,17.89376754
Melbourne - North East,2018/11/01,65 years and over,Females,9.757015977
Melbourne - North East,2018/10/01,15-24 years,Males,55.79404017
Melbourne - North East,2018/10/01,15-24 years,Females,60.14252337
Melbourne - North East,2018/10/01,25-34 years,Males,89.1556157
Melbourne - North East,2018/10/01,25-34 years,Females,74.29870746
Melbourne - North East,2018/10/01,35-44 years,Males,89.87111162
Melbourne - North East,2018/10/01,35-44 years,Females,76.19962565
Melbourne - North East,2018/10/01,45-54 years,Males,87.01046397
Melbourne - North East,2018/10/01,45-54 years,Females,74.75840484
Melbourne - North East,2018/10/01,55-64 years,Males,75.02290181
Melbourne - North East,2018/10/01,55-64 years,Females,58.13846983
Melbourne - North East,2018/10/01,65 years and over,Males,17.64779329
Melbourne - North East,2018/10/01,65 years and over,Females,9.450425711
Melbourne - North East,2018/09/01,15-24 years,Males,56.02844211
Melbourne - North East,2018/09/01,15-24 years,Females,59.56510232
Melbourne - North East,2018/09/01,25-34 years,Males,88.93174081
Melbourne - North East,2018/09/01,25-34 years,Females,74.21884094
Melbourne - North East,2018/09/01,35-44 years,Males,90.12171501
Melbourne - North East,2018/09/01,35-44 years,Females,75.87380026
Melbourne - North East,2018/09/01,45-54 years,Males,87.03350188
Melbourne - North East,2018/09/01,45-54 years,Females,74.35967003
Melbourne - North East,2018/09/01,55-64 years,Males,75.26298697
Melbourne - North East,2018/09/01,55-64 years,Females,58.11759179
Melbourne - North East,2018/09/01,65 years and over,Males,17.72970898
Melbourne - North East,2018/09/01,65 years and over,Females,9.440143849
Melbourne - North East,2018/08/01,15-24 years,Males,55.7416389
Melbourne - North East,2018/08/01,15-24 years,Females,59.04680467
Melbourne - North East,2018/08/01,25-34 years,Males,88.59908003
Melbourne - North East,2018/08/01,25-34 years,Females,73.65631087
Melbourne - North East,2018/08/01,35-44 years,Males,90.23529841
Melbourne - North East,2018/08/01,35-44 years,Females,75.27045562
Melbourne - North East,2018/08/01,45-54 years,Males,86.74137025
Melbourne - North East,2018/08/01,45-54 years,Females,74.03368011
Melbourne - North East,2018/08/01,55-64 years,Males,74.97183794
Melbourne - North East,2018/08/01,55-64 years,Females,57.50924072
Melbourne - North East,2018/08/01,65 years and over,Males,17.56632533
Melbourne - North East,2018/08/01,65 years and over,Females,9.306080599
Melbourne - North East,2018/07/01,15-24 years,Males,57.6534259
Melbourne - North East,2018/07/01,15-24 years,Females,60.60089667
Melbourne - North East,2018/07/01,25-34 years,Males,89.06559963
Melbourne - North East,2018/07/01,25-34 years,Females,73.97381629
Melbourne - North East,2018/07/01,35-44 years,Males,90.5567798
Melbourne - North East,2018/07/01,35-44 years,Females,75.44035938
Melbourne - North East,2018/07/01,45-54 years,Males,86.8093083
Melbourne - North East,2018/07/01,45-54 years,Females,74.41000642
Melbourne - North East,2018/07/01,55-64 years,Males,74.93068263
Melbourne - North East,2018/07/01,55-64 years,Females,57.39349326
Melbourne - North East,2018/07/01,65 years and over,Males,17.68766099
Melbourne - North East,2018/07/01,65 years and over,Females,9.432099393
Melbourne - North East,2018/06/01,15-24 years,Males,57.27780015
Melbourne - North East,2018/06/01,15-24 years,Females,61.27563466
Melbourne - North East,2018/06/01,25-34 years,Males,88.64882151
Melbourne - North East,2018/06/01,25-34 years,Females,73.39963018
Melbourne - North East,2018/06/01,35-44 years,Males,90.06910279
Melbourne - North East,2018/06/01,35-44 years,Females,74.77932303
Melbourne - North East,2018/06/01,45-54 years,Males,86.28061464
Melbourne - North East,2018/06/01,45-54 years,Females,73.83966524
Melbourne - North East,2018/06/01,55-64 years,Males,74.23495976
Melbourne - North East,2018/06/01,55-64 years,Females,56.72913806
Melbourne - North East,2018/06/01,65 years and over,Males,17.62537147
Melbourne - North East,2018/06/01,65 years and over,Females,9.438757144
Melbourne - North East,2018/05/01,15-24 years,Males,57.80146203
Melbourne - North East,2018/05/01,15-24 years,Females,62.20605253
Melbourne - North East,2018/05/01,25-34 years,Males,88.96540337
Melbourne - North East,2018/05/01,25-34 years,Females,73.64816077
Melbourne - North East,2018/05/01,35-44 years,Males,90.42193566
Melbourne - North East,2018/05/01,35-44 years,Females,75.08320666
Melbourne - North East,2018/05/01,45-54 years,Males,86.60896004
Melbourne - North East,2018/05/01,45-54 years,Females,74.2134531
Melbourne - North East,2018/05/01,55-64 years,Males,74.17018867
Melbourne - North East,2018/05/01,55-64 years,Females,56.90795452
Melbourne - North East,2018/05/01,65 years and over,Males,17.89721262
Melbourne - North East,2018/05/01,65 years and over,Females,9.606522674
Melbourne - North East,2018/04/01,15-24 years,Males,57.15871955
Melbourne - North East,2018/04/01,15-24 years,Females,60.61121637
Melbourne - North East,2018/04/01,25-34 years,Males,88.8262222
Melbourne - North East,2018/04/01,25-34 years,Females,73.07797315
Melbourne - North East,2018/04/01,35-44 years,Males,90.23397066
Melbourne - North East,2018/04/01,35-44 years,Females,74.44840265
Melbourne - North East,2018/04/01,45-54 years,Males,86.46046808
Melbourne - North East,2018/04/01,45-54 years,Females,73.56736321
Melbourne - North East,2018/04/01,55-64 years,Males,73.2563983
Melbourne - North East,2018/04/01,55-64 years,Females,55.81871563
Melbourne - North East,2018/04/01,65 years and over,Males,17.35679471
Melbourne - North East,2018/04/01,65 years and over,Females,9.376745249
Melbourne - North East,2018/03/01,15-24 years,Males,56.6027376
Melbourne - North East,2018/03/01,15-24 years,Females,61.48413086
Melbourne - North East,2018/03/01,25-34 years,Males,88.94552666
Melbourne - North East,2018/03/01,25-34 years,Females,73.54575586
Melbourne - North East,2018/03/01,35-44 years,Males,90.46026401
Melbourne - North East,2018/03/01,35-44 years,Females,74.87523586
Melbourne - North East,2018/03/01,45-54 years,Males,87.09784122
Melbourne - North East,2018/03/01,45-54 years,Females,73.86973791
Melbourne - North East,2018/03/01,55-64 years,Males,73.5148363
Melbourne - North East,2018/03/01,55-64 years,Females,56.25124837
Melbourne - North East,2018/03/01,65 years and over,Males,17.51627846
Melbourne - North East,2018/03/01,65 years and over,Females,9.538972531
Melbourne - North East,2018/02/01,15-24 years,Males,56.4215543
Melbourne - North East,2018/02/01,15-24 years,Females,61.26716003
Melbourne - North East,2018/02/01,25-34 years,Males,88.59939528
Melbourne - North East,2018/02/01,25-34 years,Females,73.47407933
Melbourne - North East,2018/02/01,35-44 years,Males,90.24946039
Melbourne - North East,2018/02/01,35-44 years,Females,74.83546797
Melbourne - North East,2018/02/01,45-54 years,Males,87.23359037
Melbourne - North East,2018/02/01,45-54 years,Females,73.84199765
Melbourne - North East,2018/02/01,55-64 years,Males,73.67633571
Melbourne - North East,2018/02/01,55-64 years,Females,56.60310115
Melbourne - North East,2018/02/01,65 years and over,Males,17.52762863
Melbourne - North East,2018/02/01,65 years and over,Females,9.680831967
Melbourne - North East,2018/01/01,15-24 years,Males,55.72013547
Melbourne - North East,2018/01/01,15-24 years,Females,61.53862801
Melbourne - North East,2018/01/01,25-34 years,Males,87.67335204
Melbourne - North East,2018/01/01,25-34 years,Females,72.69632505
Melbourne - North East,2018/01/01,35-44 years,Males,89.78913246
Melbourne - North East,2018/01/01,35-44 years,Females,73.87383839
Melbourne - North East,2018/01/01,45-54 years,Males,86.79015981
Melbourne - North East,2018/01/01,45-54 years,Females,73.2755713
Melbourne - North East,2018/01/01,55-64 years,Males,73.06188365
Melbourne - North East,2018/01/01,55-64 years,Females,55.92634933
Melbourne - North East,2018/01/01,65 years and over,Males,16.96392296
Melbourne - North East,2018/01/01,65 years and over,Females,9.43915482
Melbourne - North East,2017/12/01,15-24 years,Males,56.64554926
Melbourne - North East,2017/12/01,15-24 years,Females,63.88910795
Melbourne - North East,2017/12/01,25-34 years,Males,88.18755439
Melbourne - North East,2017/12/01,25-34 years,Females,73.88735243
Melbourne - North East,2017/12/01,35-44 years,Males,90.04092175
Melbourne - North East,2017/12/01,35-44 years,Females,75.06310366
Melbourne - North East,2017/12/01,45-54 years,Males,87.42889704
Melbourne - North East,2017/12/01,45-54 years,Females,74.42624652
Melbourne - North East,2017/12/01,55-64 years,Males,74.10924857
Melbourne - North East,2017/12/01,55-64 years,Females,57.69632328
Melbourne - North East,2017/12/01,65 years and over,Males,17.64722725
Melbourne - North East,2017/12/01,65 years and over,Females,10.13041302
Melbourne - North East,2017/11/01,15-24 years,Males,54.67683798
Melbourne - North East,2017/11/01,15-24 years,Females,62.60633313
Melbourne - North East,2017/11/01,25-34 years,Males,88.26730084
Melbourne - North East,2017/11/01,25-34 years,Females,73.85758372
Melbourne - North East,2017/11/01,35-44 years,Males,90.24931288
Melbourne - North East,2017/11/01,35-44 years,Females,75.18324866
Melbourne - North East,2017/11/01,45-54 years,Males,87.29050549
Melbourne - North East,2017/11/01,45-54 years,Females,74.50891008
Melbourne - North East,2017/11/01,55-64 years,Males,74.24627218
Melbourne - North East,2017/11/01,55-64 years,Females,57.91252793
Melbourne - North East,2017/11/01,65 years and over,Males,17.27674134
Melbourne - North East,2017/11/01,65 years and over,Females,10.03123202
Melbourne - North East,2017/10/01,15-24 years,Males,52.81794266
Melbourne - North East,2017/10/01,15-24 years,Females,61.37307975
Melbourne - North East,2017/10/01,25-34 years,Males,88.06058504
Melbourne - North East,2017/10/01,25-34 years,Females,73.35018422
Melbourne - North East,2017/10/01,35-44 years,Males,89.96656022
Melbourne - North East,2017/10/01,35-44 years,Females,74.8894146
Melbourne - North East,2017/10/01,45-54 years,Males,86.88045753
Melbourne - North East,2017/10/01,45-54 years,Females,74.26888219
Melbourne - North East,2017/10/01,55-64 years,Males,74.50609086
Melbourne - North East,2017/10/01,55-64 years,Females,57.82339524
Melbourne - North East,2017/10/01,65 years and over,Males,16.96739543
Melbourne - North East,2017/10/01,65 years and over,Females,9.943732799
Melbourne - North East,2017/09/01,15-24 years,Males,52.71287148
Melbourne - North East,2017/09/01,15-24 years,Females,60.86419394
Melbourne - North East,2017/09/01,25-34 years,Males,87.76435459
Melbourne - North East,2017/09/01,25-34 years,Females,73.24720057
Melbourne - North East,2017/09/01,35-44 years,Males,89.59654357
Melbourne - North East,2017/09/01,35-44 years,Females,74.83825531
Melbourne - North East,2017/09/01,45-54 years,Males,86.73765959
Melbourne - North East,2017/09/01,45-54 years,Females,74.49982953
Melbourne - North East,2017/09/01,55-64 years,Males,75.15850233
Melbourne - North East,2017/09/01,55-64 years,Females,58.50301243
Melbourne - North East,2017/09/01,65 years and over,Males,17.23391443
Melbourne - North East,2017/09/01,65 years and over,Females,10.14007123
Melbourne - North East,2017/08/01,15-24 years,Males,52.77937115
Melbourne - North East,2017/08/01,15-24 years,Females,59.61115819
Melbourne - North East,2017/08/01,25-34 years,Males,87.56343891
Melbourne - North East,2017/08/01,25-34 years,Females,73.0871573
Melbourne - North East,2017/08/01,35-44 years,Males,89.4240953
Melbourne - North East,2017/08/01,35-44 years,Females,74.42274899
Melbourne - North East,2017/08/01,45-54 years,Males,86.68827675
Melbourne - North East,2017/08/01,45-54 years,Females,74.38908902
Melbourne - North East,2017/08/01,55-64 years,Males,75.33698784
Melbourne - North East,2017/08/01,55-64 years,Females,58.46035768
Melbourne - North East,2017/08/01,65 years and over,Males,17.18010072
Melbourne - North East,2017/08/01,65 years and over,Females,10.09480818
Melbourne - North East,2017/07/01,15-24 years,Males,54.63426587
Melbourne - North East,2017/07/01,15-24 years,Females,59.37987536
Melbourne - North East,2017/07/01,25-34 years,Males,87.66114104
Melbourne - North East,2017/07/01,25-34 years,Females,73.05542016
Melbourne - North East,2017/07/01,35-44 years,Males,89.34835413
Melbourne - North East,2017/07/01,35-44 years,Females,74.08817866
Melbourne - North East,2017/07/01,45-54 years,Males,86.75780483
Melbourne - North East,2017/07/01,45-54 years,Females,74.503801
Melbourne - North East,2017/07/01,55-64 years,Males,75.46662274
Melbourne - North East,2017/07/01,55-64 years,Females,58.55914794
Melbourne - North East,2017/07/01,65 years and over,Males,17.30688944
Melbourne - North East,2017/07/01,65 years and over,Females,10.17961514
Melbourne - North East,2017/06/01,15-24 years,Males,55.50151268
Melbourne - North East,2017/06/01,15-24 years,Females,58.97436843
Melbourne - North East,2017/06/01,25-34 years,Males,88.05956183
Melbourne - North East,2017/06/01,25-34 years,Females,73.16423071
Melbourne - North East,2017/06/01,35-44 years,Males,89.48456744
Melbourne - North East,2017/06/01,35-44 years,Females,73.95471111
Melbourne - North East,2017/06/01,45-54 years,Males,87.00893468
Melbourne - North East,2017/06/01,45-54 years,Females,74.47010388
Melbourne - North East,2017/06/01,55-64 years,Males,75.65627105
Melbourne - North East,2017/06/01,55-64 years,Females,58.97646472
Melbourne - North East,2017/06/01,65 years and over,Males,17.52079493
Melbourne - North East,2017/06/01,65 years and over,Females,10.13631
Melbourne - North East,2017/05/01,15-24 years,Males,56.90550051
Melbourne - North East,2017/05/01,15-24 years,Females,58.33206876
Melbourne - North East,2017/05/01,25-34 years,Males,87.77377089
Melbourne - North East,2017/05/01,25-34 years,Females,72.84488264
Melbourne - North East,2017/05/01,35-44 years,Males,89.22885777
Melbourne - North East,2017/05/01,35-44 years,Females,73.59102332
Melbourne - North East,2017/05/01,45-54 years,Males,86.79001937
Melbourne - North East,2017/05/01,45-54 years,Females,74.44160293
Melbourne - North East,2017/05/01,55-64 years,Males,75.8627897
Melbourne - North East,2017/05/01,55-64 years,Females,59.17025583
Melbourne - North East,2017/05/01,65 years and over,Males,17.71059707
Melbourne - North East,2017/05/01,65 years and over,Females,10.27269645
Melbourne - North East,2017/04/01,15-24 years,Males,57.35482696
Melbourne - North East,2017/04/01,15-24 years,Females,57.20978162
Melbourne - North East,2017/04/01,25-34 years,Males,87.48656798
Melbourne - North East,2017/04/01,25-34 years,Females,72.41266057
Melbourne - North East,2017/04/01,35-44 years,Males,88.73944167
Melbourne - North East,2017/04/01,35-44 years,Females,72.94367618
Melbourne - North East,2017/04/01,45-54 years,Males,86.62066569
Melbourne - North East,2017/04/01,45-54 years,Females,74.07142218
Melbourne - North East,2017/04/01,55-64 years,Males,75.86809728
Melbourne - North East,2017/04/01,55-64 years,Females,58.57705679
Melbourne - North East,2017/04/01,65 years and over,Males,17.41924606
Melbourne - North East,2017/04/01,65 years and over,Females,10.10003549
Melbourne - North East,2017/03/01,15-24 years,Males,56.86500958
Melbourne - North East,2017/03/01,15-24 years,Females,56.87780576
Melbourne - North East,2017/03/01,25-34 years,Males,87.3685722
Melbourne - North East,2017/03/01,25-34 years,Females,72.38504831
Melbourne - North East,2017/03/01,35-44 years,Males,88.48815666
Melbourne - North East,2017/03/01,35-44 years,Females,72.23506085
Melbourne - North East,2017/03/01,45-54 years,Males,86.77407161
Melbourne - North East,2017/03/01,45-54 years,Females,73.95055672
Melbourne - North East,2017/03/01,55-64 years,Males,75.77339957
Melbourne - North East,2017/03/01,55-64 years,Females,58.16279099
Melbourne - North East,2017/03/01,65 years and over,Males,17.12500078
Melbourne - North East,2017/03/01,65 years and over,Females,9.916995819
Melbourne - North East,2017/02/01,15-24 years,Males,57.51580644
Melbourne - North East,2017/02/01,15-24 years,Females,58.53182305
Melbourne - North East,2017/02/01,25-34 years,Males,87.82829651
Melbourne - North East,2017/02/01,25-34 years,Females,73.0755991
