Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Employment to population rate (%)
Capital Region,2024/04/01,15-24 years,Females,71.09157798
Capital Region,2024/04/01,25-34 years,Males,91.40303861
Capital Region,2024/04/01,25-34 years,Females,82.85840092
Capital Region,2024/04/01,35-44 years,Males,88.61243928
Capital Region,2024/04/01,35-44 years,Females,85.61942383
Capital Region,2024/04/01,45-54 years,Males,83.75783353
Capital Region,2024/04/01,45-54 years,Females,80.55313001
Capital Region,2024/04/01,55-64 years,Males,67.39909334
Capital Region,2024/04/01,55-64 years,Females,63.05105829
Capital Region,2024/04/01,65 years and over,Males,21.41643869
Capital Region,2024/04/01,65 years and over,Females,11.97563093
Capital Region,2024/03/01,15-24 years,Males,71.07775046
Capital Region,2024/03/01,15-24 years,Females,71.55514542
Capital Region,2024/03/01,25-34 years,Males,91.39457554
Capital Region,2024/03/01,25-34 years,Females,82.6332134
Capital Region,2024/03/01,35-44 years,Males,88.68314709
Capital Region,2024/03/01,35-44 years,Females,85.67493287
Capital Region,2024/03/01,45-54 years,Males,84.10421391
Capital Region,2024/03/01,45-54 years,Females,80.46501411
Capital Region,2024/03/01,55-64 years,Males,68.70246123
Capital Region,2024/03/01,55-64 years,Females,62.95943405
Capital Region,2024/03/01,65 years and over,Males,21.07217278
Capital Region,2024/03/01,65 years and over,Females,11.92955456
Capital Region,2024/02/01,15-24 years,Males,71.28991158
Capital Region,2024/02/01,15-24 years,Females,72.57338978
Capital Region,2024/02/01,25-34 years,Males,91.90293576
Capital Region,2024/02/01,25-34 years,Females,82.66617184
Capital Region,2024/02/01,35-44 years,Males,88.86039686
Capital Region,2024/02/01,35-44 years,Females,85.89621395
Capital Region,2024/02/01,45-54 years,Males,84.5059353
Capital Region,2024/02/01,45-54 years,Females,80.05277346
Capital Region,2024/02/01,55-64 years,Males,69.34612035
Capital Region,2024/02/01,55-64 years,Females,62.99314271
Capital Region,2024/02/01,65 years and over,Males,20.76590269
Capital Region,2024/02/01,65 years and over,Females,11.95754288
Capital Region,2024/01/01,15-24 years,Males,69.70238873
Capital Region,2024/01/01,15-24 years,Females,71.03927338
Capital Region,2024/01/01,25-34 years,Males,91.09607664
Capital Region,2024/01/01,25-34 years,Females,81.15197492
Capital Region,2024/01/01,35-44 years,Males,88.07594385
Capital Region,2024/01/01,35-44 years,Females,84.68023734
Capital Region,2024/01/01,45-54 years,Males,83.6102265
Capital Region,2024/01/01,45-54 years,Females,78.51026625
Capital Region,2024/01/01,55-64 years,Males,68.53919426
Capital Region,2024/01/01,55-64 years,Females,61.48815667
Capital Region,2024/01/01,65 years and over,Males,19.35916544
Capital Region,2024/01/01,65 years and over,Females,11.51857066
Capital Region,2023/12/01,15-24 years,Males,72.84979076
Capital Region,2023/12/01,15-24 years,Females,73.45627808
Capital Region,2023/12/01,25-34 years,Males,92.51880511
Capital Region,2023/12/01,25-34 years,Females,82.23506535
Capital Region,2023/12/01,35-44 years,Males,89.12388549
Capital Region,2023/12/01,35-44 years,Females,86.0076058
Capital Region,2023/12/01,45-54 years,Males,84.86222376
Capital Region,2023/12/01,45-54 years,Females,79.8270653
Capital Region,2023/12/01,55-64 years,Males,70.1547585
Capital Region,2023/12/01,55-64 years,Females,63.25739468
Capital Region,2023/12/01,65 years and over,Males,19.7601618
Capital Region,2023/12/01,65 years and over,Females,12.10087958
Capital Region,2023/11/01,15-24 years,Males,73.27959672
Capital Region,2023/11/01,15-24 years,Females,73.16801701
Capital Region,2023/11/01,25-34 years,Males,92.75060133
Capital Region,2023/11/01,25-34 years,Females,82.25581604
Capital Region,2023/11/01,35-44 years,Males,89.42933746
Capital Region,2023/11/01,35-44 years,Females,85.86603495
Capital Region,2023/11/01,45-54 years,Males,85.02372424
Capital Region,2023/11/01,45-54 years,Females,80.2408701
Capital Region,2023/11/01,55-64 years,Males,70.11950035
Capital Region,2023/11/01,55-64 years,Females,63.46714711
Capital Region,2023/11/01,65 years and over,Males,19.45989863
Capital Region,2023/11/01,65 years and over,Females,12.15267445
Capital Region,2023/10/01,15-24 years,Males,72.05589132
Capital Region,2023/10/01,15-24 years,Females,72.21614558
Capital Region,2023/10/01,25-34 years,Males,92.07302439
Capital Region,2023/10/01,25-34 years,Females,81.46523075
Capital Region,2023/10/01,35-44 years,Males,89.19643003
Capital Region,2023/10/01,35-44 years,Females,85.27008358
Capital Region,2023/10/01,45-54 years,Males,84.42729905
Capital Region,2023/10/01,45-54 years,Females,79.95468266
Capital Region,2023/10/01,55-64 years,Males,69.13347962
Capital Region,2023/10/01,55-64 years,Females,62.75470245
Capital Region,2023/10/01,65 years and over,Males,18.94143055
Capital Region,2023/10/01,65 years and over,Females,11.82891589
Capital Region,2023/09/01,15-24 years,Males,72.31319142
Capital Region,2023/09/01,15-24 years,Females,71.69719159
Capital Region,2023/09/01,25-34 years,Males,92.14778524
Capital Region,2023/09/01,25-34 years,Females,81.6138966
Capital Region,2023/09/01,35-44 years,Males,89.26657187
Capital Region,2023/09/01,35-44 years,Females,85.26770737
Capital Region,2023/09/01,45-54 years,Males,84.38063502
Capital Region,2023/09/01,45-54 years,Females,80.1360174
Capital Region,2023/09/01,55-64 years,Males,68.37092666
Capital Region,2023/09/01,55-64 years,Females,62.4996508
Capital Region,2023/09/01,65 years and over,Males,18.66607318
Capital Region,2023/09/01,65 years and over,Females,11.50429587
Capital Region,2023/08/01,15-24 years,Males,72.7079325
Capital Region,2023/08/01,15-24 years,Females,71.52334012
Capital Region,2023/08/01,25-34 years,Males,91.78818873
Capital Region,2023/08/01,25-34 years,Females,81.66659907
Capital Region,2023/08/01,35-44 years,Males,89.23393909
Capital Region,2023/08/01,35-44 years,Females,85.27583566
Capital Region,2023/08/01,45-54 years,Males,84.29157264
Capital Region,2023/08/01,45-54 years,Females,80.26843522
Capital Region,2023/08/01,55-64 years,Males,67.92464281
Capital Region,2023/08/01,55-64 years,Females,62.67301766
Capital Region,2023/08/01,65 years and over,Males,18.77530465
Capital Region,2023/08/01,65 years and over,Females,11.23793741
Capital Region,2023/07/01,15-24 years,Males,74.13778124
Capital Region,2023/07/01,15-24 years,Females,71.62848239
Capital Region,2023/07/01,25-34 years,Males,91.41177782
Capital Region,2023/07/01,25-34 years,Females,81.84391697
Capital Region,2023/07/01,35-44 years,Males,89.28887257
Capital Region,2023/07/01,35-44 years,Females,85.31526385
Capital Region,2023/07/01,45-54 years,Males,84.14965064
Capital Region,2023/07/01,45-54 years,Females,80.21248743
Capital Region,2023/07/01,55-64 years,Males,66.73327197
Capital Region,2023/07/01,55-64 years,Females,62.64170342
Capital Region,2023/07/01,65 years and over,Males,18.62282657
Capital Region,2023/07/01,65 years and over,Females,10.95066691
Capital Region,2023/06/01,15-24 years,Males,76.01191035
Capital Region,2023/06/01,15-24 years,Females,72.46164911
Capital Region,2023/06/01,25-34 years,Males,91.67742636
Capital Region,2023/06/01,25-34 years,Females,82.52344951
Capital Region,2023/06/01,35-44 years,Males,89.85222155
Capital Region,2023/06/01,35-44 years,Females,85.77025887
Capital Region,2023/06/01,45-54 years,Males,84.46983777
Capital Region,2023/06/01,45-54 years,Females,80.9451653
Capital Region,2023/06/01,55-64 years,Males,66.26596297
Capital Region,2023/06/01,55-64 years,Females,63.20759138
Capital Region,2023/06/01,65 years and over,Males,18.8753317
Capital Region,2023/06/01,65 years and over,Females,11.00032211
Capital Region,2023/05/01,15-24 years,Males,77.49277733
Capital Region,2023/05/01,15-24 years,Females,73.35286891
Capital Region,2023/05/01,25-34 years,Males,91.9364164
Capital Region,2023/05/01,25-34 years,Females,83.40512881
Capital Region,2023/05/01,35-44 years,Males,90.25054507
Capital Region,2023/05/01,35-44 years,Females,85.86232978
Capital Region,2023/05/01,45-54 years,Males,84.72887665
Capital Region,2023/05/01,45-54 years,Females,81.37638675
Capital Region,2023/05/01,55-64 years,Males,65.98208028
Capital Region,2023/05/01,55-64 years,Females,63.43256157
Capital Region,2023/05/01,65 years and over,Males,18.48201212
Capital Region,2023/05/01,65 years and over,Females,10.929828
Capital Region,2023/04/01,15-24 years,Males,76.84444042
Capital Region,2023/04/01,15-24 years,Females,72.17726509
Capital Region,2023/04/01,25-34 years,Males,91.34907876
Capital Region,2023/04/01,25-34 years,Females,83.08872265
Capital Region,2023/04/01,35-44 years,Males,89.88528688
Capital Region,2023/04/01,35-44 years,Females,85.0910288
Capital Region,2023/04/01,45-54 years,Males,84.1653861
Capital Region,2023/04/01,45-54 years,Females,81.16309993
Capital Region,2023/04/01,55-64 years,Males,64.68808048
Capital Region,2023/04/01,55-64 years,Females,62.74263238
Capital Region,2023/04/01,65 years and over,Males,17.99764373
Capital Region,2023/04/01,65 years and over,Females,10.7488382
Capital Region,2023/03/01,15-24 years,Males,77.29982345
Capital Region,2023/03/01,15-24 years,Females,72.78520154
Capital Region,2023/03/01,25-34 years,Males,91.48205186
Capital Region,2023/03/01,25-34 years,Females,83.09284352
Capital Region,2023/03/01,35-44 years,Males,90.04676636
Capital Region,2023/03/01,35-44 years,Females,84.69219747
Capital Region,2023/03/01,45-54 years,Males,84.1357852
Capital Region,2023/03/01,45-54 years,Females,81.58116487
Capital Region,2023/03/01,55-64 years,Males,63.90467046
Capital Region,2023/03/01,55-64 years,Females,62.41210303
Capital Region,2023/03/01,65 years and over,Males,17.75620868
Capital Region,2023/03/01,65 years and over,Females,10.68371553
Capital Region,2023/02/01,15-24 years,Males,77.8501433
Capital Region,2023/02/01,15-24 years,Females,73.79214451
Capital Region,2023/02/01,25-34 years,Males,91.85103106
Capital Region,2023/02/01,25-34 years,Females,83.04793569
Capital Region,2023/02/01,35-44 years,Males,90.36117402
Capital Region,2023/02/01,35-44 years,Females,84.43704922
Capital Region,2023/02/01,45-54 years,Males,84.44304262
Capital Region,2023/02/01,45-54 years,Females,82.5556234
Capital Region,2023/02/01,55-64 years,Males,64.12312997
Capital Region,2023/02/01,55-64 years,Females,62.74665346
Capital Region,2023/02/01,65 years and over,Males,18.31341015
Capital Region,2023/02/01,65 years and over,Females,10.97644705
Capital Region,2023/01/01,15-24 years,Males,76.87399595
Capital Region,2023/01/01,15-24 years,Females,72.80242187
Capital Region,2023/01/01,25-34 years,Males,91.43158995
Capital Region,2023/01/01,25-34 years,Females,81.64863978
Capital Region,2023/01/01,35-44 years,Males,89.83422015
Capital Region,2023/01/01,35-44 years,Females,83.31484457
Capital Region,2023/01/01,45-54 years,Males,83.91389619
Capital Region,2023/01/01,45-54 years,Females,82.33685687
Capital Region,2023/01/01,55-64 years,Males,63.03876073
Capital Region,2023/01/01,55-64 years,Females,61.49416872
Capital Region,2023/01/01,65 years and over,Males,17.93367722
Capital Region,2023/01/01,65 years and over,Females,10.55032555
Capital Region,2022/12/01,15-24 years,Males,77.4723572
Capital Region,2022/12/01,15-24 years,Females,74.46384068
Capital Region,2022/12/01,25-34 years,Males,92.03862618
Capital Region,2022/12/01,25-34 years,Females,82.38428638
Capital Region,2022/12/01,35-44 years,Males,90.44649807
Capital Region,2022/12/01,35-44 years,Females,84.17522814
Capital Region,2022/12/01,45-54 years,Males,84.77748735
Capital Region,2022/12/01,45-54 years,Females,83.8110472
Capital Region,2022/12/01,55-64 years,Males,64.76399526
Capital Region,2022/12/01,55-64 years,Females,62.67627389
Capital Region,2022/12/01,65 years and over,Males,19.1679918
Capital Region,2022/12/01,65 years and over,Females,11.14833729
Capital Region,2022/11/01,15-24 years,Males,75.95790666
Capital Region,2022/11/01,15-24 years,Females,73.77136499
Capital Region,2022/11/01,25-34 years,Males,91.84546285
Capital Region,2022/11/01,25-34 years,Females,82.22327702
Capital Region,2022/11/01,35-44 years,Males,90.49889344
Capital Region,2022/11/01,35-44 years,Females,84.44280112
Capital Region,2022/11/01,45-54 years,Males,84.84302854
Capital Region,2022/11/01,45-54 years,Females,84.2461109
Capital Region,2022/11/01,55-64 years,Males,65.10461596
Capital Region,2022/11/01,55-64 years,Females,62.61673758
Capital Region,2022/11/01,65 years and over,Males,19.48719577
Capital Region,2022/11/01,65 years and over,Females,11.06362123
Capital Region,2022/10/01,15-24 years,Males,74.51553669
Capital Region,2022/10/01,15-24 years,Females,72.70325301
Capital Region,2022/10/01,25-34 years,Males,91.43095374
Capital Region,2022/10/01,25-34 years,Females,81.75794022
Capital Region,2022/10/01,35-44 years,Males,90.40661574
Capital Region,2022/10/01,35-44 years,Females,84.38865208
Capital Region,2022/10/01,45-54 years,Males,84.89806414
Capital Region,2022/10/01,45-54 years,Females,84.33881559
Capital Region,2022/10/01,55-64 years,Males,65.00458251
Capital Region,2022/10/01,55-64 years,Females,62.37886105
Capital Region,2022/10/01,65 years and over,Males,19.4768981
Capital Region,2022/10/01,65 years and over,Females,10.68053874
Capital Region,2022/09/01,15-24 years,Males,73.70543542
Capital Region,2022/09/01,15-24 years,Females,72.48385791
Capital Region,2022/09/01,25-34 years,Males,91.23034707
Capital Region,2022/09/01,25-34 years,Females,81.64461056
Capital Region,2022/09/01,35-44 years,Males,90.40153371
Capital Region,2022/09/01,35-44 years,Females,84.60584281
Capital Region,2022/09/01,45-54 years,Males,85.20360665
Capital Region,2022/09/01,45-54 years,Females,84.47037776
Capital Region,2022/09/01,55-64 years,Males,65.03033377
Capital Region,2022/09/01,55-64 years,Females,62.27811714
Capital Region,2022/09/01,65 years and over,Males,19.29162319
Capital Region,2022/09/01,65 years and over,Females,10.2999333
Capital Region,2022/08/01,15-24 years,Males,71.41152225
Capital Region,2022/08/01,15-24 years,Females,72.00286421
Capital Region,2022/08/01,25-34 years,Males,90.71336673
Capital Region,2022/08/01,25-34 years,Females,81.27736827
Capital Region,2022/08/01,35-44 years,Males,90.01252365
Capital Region,2022/08/01,35-44 years,Females,84.4620841
Capital Region,2022/08/01,45-54 years,Males,85.22026363
Capital Region,2022/08/01,45-54 years,Females,84.29094053
Capital Region,2022/08/01,55-64 years,Males,64.94530162
Capital Region,2022/08/01,55-64 years,Females,62.15093219
Capital Region,2022/08/01,65 years and over,Males,19.3282669
Capital Region,2022/08/01,65 years and over,Females,9.927332641
Capital Region,2022/07/01,15-24 years,Males,71.41021383
Capital Region,2022/07/01,15-24 years,Females,72.56425813
Capital Region,2022/07/01,25-34 years,Males,90.28686633
Capital Region,2022/07/01,25-34 years,Females,81.39003404
Capital Region,2022/07/01,35-44 years,Males,89.77366589
Capital Region,2022/07/01,35-44 years,Females,84.36580395
Capital Region,2022/07/01,45-54 years,Males,85.36199693
Capital Region,2022/07/01,45-54 years,Females,84.39065092
Capital Region,2022/07/01,55-64 years,Males,65.14358408
Capital Region,2022/07/01,55-64 years,Females,62.22325192
