Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Participation rate (%)
Brisbane - East,2021/04/01,55-64 years,Males,78.72814984
Brisbane - East,2021/04/01,55-64 years,Females,68.10704315
Brisbane - East,2021/04/01,65 years and over,Males,19.58646132
Brisbane - East,2021/04/01,65 years and over,Females,9.262013588
Brisbane - East,2021/03/01,15-24 years,Males,75.44168492
Brisbane - East,2021/03/01,15-24 years,Females,76.32748531
Brisbane - East,2021/03/01,25-34 years,Males,94.06421613
Brisbane - East,2021/03/01,25-34 years,Females,84.25473405
Brisbane - East,2021/03/01,35-44 years,Males,95.71742162
Brisbane - East,2021/03/01,35-44 years,Females,85.80397635
Brisbane - East,2021/03/01,45-54 years,Males,94.68124005
Brisbane - East,2021/03/01,45-54 years,Females,84.27740214
Brisbane - East,2021/03/01,55-64 years,Males,79.05636035
Brisbane - East,2021/03/01,55-64 years,Females,68.0903071
Brisbane - East,2021/03/01,65 years and over,Males,19.66669193
Brisbane - East,2021/03/01,65 years and over,Females,9.372296291
Brisbane - East,2021/02/01,15-24 years,Males,75.17607529
Brisbane - East,2021/02/01,15-24 years,Females,76.80826773
Brisbane - East,2021/02/01,25-34 years,Males,93.96434768
Brisbane - East,2021/02/01,25-34 years,Females,84.09345252
Brisbane - East,2021/02/01,35-44 years,Males,95.69228592
Brisbane - East,2021/02/01,35-44 years,Females,85.58185123
Brisbane - East,2021/02/01,45-54 years,Males,94.54697453
Brisbane - East,2021/02/01,45-54 years,Females,84.75140149
Brisbane - East,2021/02/01,55-64 years,Males,79.37497616
Brisbane - East,2021/02/01,55-64 years,Females,67.72736551
Brisbane - East,2021/02/01,65 years and over,Males,19.60899912
Brisbane - East,2021/02/01,65 years and over,Females,9.614862131
Brisbane - East,2021/01/01,15-24 years,Males,74.46275684
Brisbane - East,2021/01/01,15-24 years,Females,75.97565827
Brisbane - East,2021/01/01,25-34 years,Males,93.51309039
Brisbane - East,2021/01/01,25-34 years,Females,83.4602669
Brisbane - East,2021/01/01,35-44 years,Males,95.33392633
Brisbane - East,2021/01/01,35-44 years,Females,84.45077938
Brisbane - East,2021/01/01,45-54 years,Males,94.06174085
Brisbane - East,2021/01/01,45-54 years,Females,84.09793722
Brisbane - East,2021/01/01,55-64 years,Males,78.85281982
Brisbane - East,2021/01/01,55-64 years,Females,66.43872501
Brisbane - East,2021/01/01,65 years and over,Males,18.67239996
Brisbane - East,2021/01/01,65 years and over,Females,9.412009173
Brisbane - East,2020/12/01,15-24 years,Males,73.73918929
Brisbane - East,2020/12/01,15-24 years,Females,76.62852286
Brisbane - East,2020/12/01,25-34 years,Males,93.75553692
Brisbane - East,2020/12/01,25-34 years,Females,84.22121838
Brisbane - East,2020/12/01,35-44 years,Males,95.40155165
Brisbane - East,2020/12/01,35-44 years,Females,84.98241728
Brisbane - East,2020/12/01,45-54 years,Males,94.0339818
Brisbane - East,2020/12/01,45-54 years,Females,85.01367392
Brisbane - East,2020/12/01,55-64 years,Males,79.62329486
Brisbane - East,2020/12/01,55-64 years,Females,67.06691627
Brisbane - East,2020/12/01,65 years and over,Males,19.18124227
Brisbane - East,2020/12/01,65 years and over,Females,10.01529575
Brisbane - East,2020/11/01,15-24 years,Males,70.25659931
Brisbane - East,2020/11/01,15-24 years,Females,74.53869486
Brisbane - East,2020/11/01,25-34 years,Males,93.52049891
Brisbane - East,2020/11/01,25-34 years,Females,83.5769595
Brisbane - East,2020/11/01,35-44 years,Males,95.11470907
Brisbane - East,2020/11/01,35-44 years,Females,84.30923128
Brisbane - East,2020/11/01,45-54 years,Males,93.3891242
Brisbane - East,2020/11/01,45-54 years,Females,84.42552983
Brisbane - East,2020/11/01,55-64 years,Males,78.96319946
Brisbane - East,2020/11/01,55-64 years,Females,66.06198023
Brisbane - East,2020/11/01,65 years and over,Males,18.42414648
Brisbane - East,2020/11/01,65 years and over,Females,9.886048842
Brisbane - East,2020/10/01,15-24 years,Males,69.41287578
Brisbane - East,2020/10/01,15-24 years,Females,74.18302044
Brisbane - East,2020/10/01,25-34 years,Males,93.65445428
Brisbane - East,2020/10/01,25-34 years,Females,83.75292284
Brisbane - East,2020/10/01,35-44 years,Males,95.06079822
Brisbane - East,2020/10/01,35-44 years,Females,84.18800747
Brisbane - East,2020/10/01,45-54 years,Males,93.12095618
Brisbane - East,2020/10/01,45-54 years,Females,84.56640195
Brisbane - East,2020/10/01,55-64 years,Males,79.07523523
Brisbane - East,2020/10/01,55-64 years,Females,66.06622122
Brisbane - East,2020/10/01,65 years and over,Males,18.73194591
Brisbane - East,2020/10/01,65 years and over,Females,10.10352231
Brisbane - East,2020/09/01,15-24 years,Males,67.0941768
Brisbane - East,2020/09/01,15-24 years,Females,73.09489503
Brisbane - East,2020/09/01,25-34 years,Males,93.33453675
Brisbane - East,2020/09/01,25-34 years,Females,83.11428789
Brisbane - East,2020/09/01,35-44 years,Males,94.79067072
Brisbane - East,2020/09/01,35-44 years,Females,83.39867227
Brisbane - East,2020/09/01,45-54 years,Males,92.81424651
Brisbane - East,2020/09/01,45-54 years,Females,84.08292858
Brisbane - East,2020/09/01,55-64 years,Males,78.39263663
Brisbane - East,2020/09/01,55-64 years,Females,65.31817586
Brisbane - East,2020/09/01,65 years and over,Males,18.60003619
Brisbane - East,2020/09/01,65 years and over,Females,10.07644876
Brisbane - East,2020/08/01,15-24 years,Males,65.48934404
Brisbane - East,2020/08/01,15-24 years,Females,72.18993501
Brisbane - East,2020/08/01,25-34 years,Males,92.93605196
Brisbane - East,2020/08/01,25-34 years,Females,82.45180634
Brisbane - East,2020/08/01,35-44 years,Males,94.61785878
Brisbane - East,2020/08/01,35-44 years,Females,82.78486395
Brisbane - East,2020/08/01,45-54 years,Males,92.49058941
Brisbane - East,2020/08/01,45-54 years,Females,83.36614224
Brisbane - East,2020/08/01,55-64 years,Males,77.43444402
Brisbane - East,2020/08/01,55-64 years,Females,64.56064084
Brisbane - East,2020/08/01,65 years and over,Males,18.38222829
Brisbane - East,2020/08/01,65 years and over,Females,9.958156224
Brisbane - East,2020/07/01,15-24 years,Males,65.32221475
Brisbane - East,2020/07/01,15-24 years,Females,71.66762489
Brisbane - East,2020/07/01,25-34 years,Males,92.76478904
Brisbane - East,2020/07/01,25-34 years,Females,81.70501777
Brisbane - East,2020/07/01,35-44 years,Males,94.36964325
Brisbane - East,2020/07/01,35-44 years,Females,81.41254518
Brisbane - East,2020/07/01,45-54 years,Males,92.10911112
Brisbane - East,2020/07/01,45-54 years,Females,82.21116737
Brisbane - East,2020/07/01,55-64 years,Males,76.04392216
Brisbane - East,2020/07/01,55-64 years,Females,63.31150251
Brisbane - East,2020/07/01,65 years and over,Males,17.55004584
Brisbane - East,2020/07/01,65 years and over,Females,9.665886051
Brisbane - East,2020/06/01,15-24 years,Males,63.29777596
Brisbane - East,2020/06/01,15-24 years,Females,69.60339152
Brisbane - East,2020/06/01,25-34 years,Males,92.48120427
Brisbane - East,2020/06/01,25-34 years,Females,81.23624871
Brisbane - East,2020/06/01,35-44 years,Males,94.31755897
Brisbane - East,2020/06/01,35-44 years,Females,80.16587316
Brisbane - East,2020/06/01,45-54 years,Males,92.1236375
Brisbane - East,2020/06/01,45-54 years,Females,81.39570393
Brisbane - East,2020/06/01,55-64 years,Males,74.98743949
Brisbane - East,2020/06/01,55-64 years,Females,62.41026383
Brisbane - East,2020/06/01,65 years and over,Males,16.77080028
Brisbane - East,2020/06/01,65 years and over,Females,9.686151659
Brisbane - East,2020/05/01,15-24 years,Males,61.06202622
Brisbane - East,2020/05/01,15-24 years,Females,67.31846388
Brisbane - East,2020/05/01,25-34 years,Males,92.17942314
Brisbane - East,2020/05/01,25-34 years,Females,80.43605943
Brisbane - East,2020/05/01,35-44 years,Males,94.13249197
Brisbane - East,2020/05/01,35-44 years,Females,78.51053089
Brisbane - East,2020/05/01,45-54 years,Males,91.96079746
Brisbane - East,2020/05/01,45-54 years,Females,80.51230183
Brisbane - East,2020/05/01,55-64 years,Males,73.65269657
Brisbane - East,2020/05/01,55-64 years,Females,61.37541987
Brisbane - East,2020/05/01,65 years and over,Males,15.79413687
Brisbane - East,2020/05/01,65 years and over,Females,9.292139652
Brisbane - East,2020/04/01,15-24 years,Males,65.11525248
Brisbane - East,2020/04/01,15-24 years,Females,69.91161589
Brisbane - East,2020/04/01,25-34 years,Males,92.82920133
Brisbane - East,2020/04/01,25-34 years,Females,81.73539541
Brisbane - East,2020/04/01,35-44 years,Males,94.697616
Brisbane - East,2020/04/01,35-44 years,Females,79.33860467
Brisbane - East,2020/04/01,45-54 years,Males,92.59874198
Brisbane - East,2020/04/01,45-54 years,Females,81.47444151
Brisbane - East,2020/04/01,55-64 years,Males,74.39671366
Brisbane - East,2020/04/01,55-64 years,Females,62.77572467
Brisbane - East,2020/04/01,65 years and over,Males,16.44094447
Brisbane - East,2020/04/01,65 years and over,Females,9.791527935
Brisbane - East,2020/03/01,15-24 years,Males,71.14724315
Brisbane - East,2020/03/01,15-24 years,Females,74.85262362
Brisbane - East,2020/03/01,25-34 years,Males,94.00538633
Brisbane - East,2020/03/01,25-34 years,Females,83.88553393
Brisbane - East,2020/03/01,35-44 years,Males,95.4268485
Brisbane - East,2020/03/01,35-44 years,Females,81.41742472
Brisbane - East,2020/03/01,45-54 years,Males,93.32221314
Brisbane - East,2020/03/01,45-54 years,Females,83.39297104
Brisbane - East,2020/03/01,55-64 years,Males,76.0986135
Brisbane - East,2020/03/01,55-64 years,Females,65.38395297
Brisbane - East,2020/03/01,65 years and over,Males,18.1786531
Brisbane - East,2020/03/01,65 years and over,Females,10.8889987
Brisbane - East,2020/02/01,15-24 years,Males,72.85960936
Brisbane - East,2020/02/01,15-24 years,Females,76.81702923
Brisbane - East,2020/02/01,25-34 years,Males,94.35713539
Brisbane - East,2020/02/01,25-34 years,Females,84.71916843
Brisbane - East,2020/02/01,35-44 years,Males,95.57273166
Brisbane - East,2020/02/01,35-44 years,Females,81.84764015
Brisbane - East,2020/02/01,45-54 years,Males,93.76038207
Brisbane - East,2020/02/01,45-54 years,Females,83.82142841
Brisbane - East,2020/02/01,55-64 years,Males,76.43021713
Brisbane - East,2020/02/01,55-64 years,Females,66.10468861
Brisbane - East,2020/02/01,65 years and over,Males,18.88714804
Brisbane - East,2020/02/01,65 years and over,Females,11.33588406
Brisbane - East,2020/01/01,15-24 years,Males,72.57241035
Brisbane - East,2020/01/01,15-24 years,Females,76.83117365
Brisbane - East,2020/01/01,25-34 years,Males,94.21298854
Brisbane - East,2020/01/01,25-34 years,Females,83.94696077
Brisbane - East,2020/01/01,35-44 years,Males,95.33311709
Brisbane - East,2020/01/01,35-44 years,Females,80.99330897
Brisbane - East,2020/01/01,45-54 years,Males,93.81259892
Brisbane - East,2020/01/01,45-54 years,Females,82.91064978
Brisbane - East,2020/01/01,55-64 years,Males,75.37171634
Brisbane - East,2020/01/01,55-64 years,Females,64.94173283
Brisbane - East,2020/01/01,65 years and over,Males,18.30535376
Brisbane - East,2020/01/01,65 years and over,Females,10.84525949
Brisbane - East,2019/12/01,15-24 years,Males,73.77711298
Brisbane - East,2019/12/01,15-24 years,Females,77.51104365
Brisbane - East,2019/12/01,25-34 years,Males,94.66311393
Brisbane - East,2019/12/01,25-34 years,Females,84.31398903
Brisbane - East,2019/12/01,35-44 years,Males,95.51883661
Brisbane - East,2019/12/01,35-44 years,Females,82.00767543
Brisbane - East,2019/12/01,45-54 years,Males,94.22045362
Brisbane - East,2019/12/01,45-54 years,Females,83.69447964
Brisbane - East,2019/12/01,55-64 years,Males,76.58318438
Brisbane - East,2019/12/01,55-64 years,Females,65.91527676
Brisbane - East,2019/12/01,65 years and over,Males,19.59899402
Brisbane - East,2019/12/01,65 years and over,Females,11.29864303
Brisbane - East,2019/11/01,15-24 years,Males,71.96546944
Brisbane - East,2019/11/01,15-24 years,Females,76.19276243
Brisbane - East,2019/11/01,25-34 years,Males,94.87619259
Brisbane - East,2019/11/01,25-34 years,Females,84.09793763
Brisbane - East,2019/11/01,35-44 years,Males,95.54382809
Brisbane - East,2019/11/01,35-44 years,Females,82.58691714
Brisbane - East,2019/11/01,45-54 years,Males,94.36915547
Brisbane - East,2019/11/01,45-54 years,Females,84.37673406
Brisbane - East,2019/11/01,55-64 years,Males,77.1045084
Brisbane - East,2019/11/01,55-64 years,Females,66.082655
Brisbane - East,2019/11/01,65 years and over,Males,20.4210177
Brisbane - East,2019/11/01,65 years and over,Females,11.36420291
Brisbane - East,2019/10/01,15-24 years,Males,71.65838643
Brisbane - East,2019/10/01,15-24 years,Females,75.75498039
Brisbane - East,2019/10/01,25-34 years,Males,94.99867561
Brisbane - East,2019/10/01,25-34 years,Females,83.62504696
Brisbane - East,2019/10/01,35-44 years,Males,95.51759875
Brisbane - East,2019/10/01,35-44 years,Females,82.90946542
Brisbane - East,2019/10/01,45-54 years,Males,94.45678838
Brisbane - East,2019/10/01,45-54 years,Females,84.80118273
Brisbane - East,2019/10/01,55-64 years,Males,77.17188243
Brisbane - East,2019/10/01,55-64 years,Females,65.84755435
Brisbane - East,2019/10/01,65 years and over,Males,20.80980228
Brisbane - East,2019/10/01,65 years and over,Females,11.06697002
Brisbane - East,2019/09/01,15-24 years,Males,71.22561534
Brisbane - East,2019/09/01,15-24 years,Females,75.00513193
Brisbane - East,2019/09/01,25-34 years,Males,95.29354992
Brisbane - East,2019/09/01,25-34 years,Females,83.55875103
Brisbane - East,2019/09/01,35-44 years,Males,95.56271135
Brisbane - East,2019/09/01,35-44 years,Females,83.18434419
Brisbane - East,2019/09/01,45-54 years,Males,94.51075319
Brisbane - East,2019/09/01,45-54 years,Females,85.42494346
Brisbane - East,2019/09/01,55-64 years,Males,77.33535345
Brisbane - East,2019/09/01,55-64 years,Females,65.86219418
Brisbane - East,2019/09/01,65 years and over,Males,21.28387537
Brisbane - East,2019/09/01,65 years and over,Females,11.0449309
Brisbane - East,2019/08/01,15-24 years,Males,71.90250814
Brisbane - East,2019/08/01,15-24 years,Females,75.13316604
Brisbane - East,2019/08/01,25-34 years,Males,95.35752233
Brisbane - East,2019/08/01,25-34 years,Females,83.30807872
Brisbane - East,2019/08/01,35-44 years,Males,95.61074291
Brisbane - East,2019/08/01,35-44 years,Females,83.2174876
Brisbane - East,2019/08/01,45-54 years,Males,94.56278467
Brisbane - East,2019/08/01,45-54 years,Females,86.00582697
Brisbane - East,2019/08/01,55-64 years,Males,77.27083045
Brisbane - East,2019/08/01,55-64 years,Females,66.03801908
Brisbane - East,2019/08/01,65 years and over,Males,21.51535348
Brisbane - East,2019/08/01,65 years and over,Females,11.03896011
Brisbane - East,2019/07/01,15-24 years,Males,72.42239422
Brisbane - East,2019/07/01,15-24 years,Females,75.93117442
Brisbane - East,2019/07/01,25-34 years,Males,95.3084819
Brisbane - East,2019/07/01,25-34 years,Females,82.86708694
Brisbane - East,2019/07/01,35-44 years,Males,95.62064884
Brisbane - East,2019/07/01,35-44 years,Females,83.20184902
Brisbane - East,2019/07/01,45-54 years,Males,94.56945752
Brisbane - East,2019/07/01,45-54 years,Females,86.46426608
Brisbane - East,2019/07/01,55-64 years,Males,77.28421217
Brisbane - East,2019/07/01,55-64 years,Females,66.09416388
Brisbane - East,2019/07/01,65 years and over,Males,21.61525773
Brisbane - East,2019/07/01,65 years and over,Females,10.91456285
Brisbane - East,2019/06/01,15-24 years,Males,71.69750454
Brisbane - East,2019/06/01,15-24 years,Females,75.40032623
Brisbane - East,2019/06/01,25-34 years,Males,94.95487718
Brisbane - East,2019/06/01,25-34 years,Females,81.73870565
Brisbane - East,2019/06/01,35-44 years,Males,95.36053753
Brisbane - East,2019/06/01,35-44 years,Females,82.89450309
Brisbane - East,2019/06/01,45-54 years,Males,94.08827182
Brisbane - East,2019/06/01,45-54 years,Females,86.23053845
Brisbane - East,2019/06/01,55-64 years,Males,76.93761006
Brisbane - East,2019/06/01,55-64 years,Females,65.26713314
Brisbane - East,2019/06/01,65 years and over,Males,20.64878892
Brisbane - East,2019/06/01,65 years and over,Females,10.33686938
Brisbane - East,2019/05/01,15-24 years,Males,72.48806477
Brisbane - East,2019/05/01,15-24 years,Females,75.60124993
Brisbane - East,2019/05/01,25-34 years,Males,94.90811906
Brisbane - East,2019/05/01,25-34 years,Females,82.25040615
Brisbane - East,2019/05/01,35-44 years,Males,95.37630914
Brisbane - East,2019/05/01,35-44 years,Females,83.19563214
Brisbane - East,2019/05/01,45-54 years,Males,93.93267661
Brisbane - East,2019/05/01,45-54 years,Females,86.50741141
Brisbane - East,2019/05/01,55-64 years,Males,77.47013166
Brisbane - East,2019/05/01,55-64 years,Females,65.71606528
Brisbane - East,2019/05/01,65 years and over,Males,20.65830659
Brisbane - East,2019/05/01,65 years and over,Females,10.34169619
Brisbane - East,2019/04/01,15-24 years,Males,73.37385326
Brisbane - East,2019/04/01,15-24 years,Females,75.41716909
Brisbane - East,2019/04/01,25-34 years,Males,94.6295269
Brisbane - East,2019/04/01,25-34 years,Females,82.65882147
Brisbane - East,2019/04/01,35-44 years,Males,95.25396207
Brisbane - East,2019/04/01,35-44 years,Females,83.08572012
Brisbane - East,2019/04/01,45-54 years,Males,93.72803444
Brisbane - East,2019/04/01,45-54 years,Females,86.26130581
Brisbane - East,2019/04/01,55-64 years,Males,77.36367807
Brisbane - East,2019/04/01,55-64 years,Females,65.88017874
Brisbane - East,2019/04/01,65 years and over,Males,20.45446683
Brisbane - East,2019/04/01,65 years and over,Females,10.30703951
Brisbane - East,2019/03/01,15-24 years,Males,74.15489272
Brisbane - East,2019/03/01,15-24 years,Females,75.48777955
Brisbane - East,2019/03/01,25-34 years,Males,94.63712871
Brisbane - East,2019/03/01,25-34 years,Females,83.17537074
Brisbane - East,2019/03/01,35-44 years,Males,95.17695968
Brisbane - East,2019/03/01,35-44 years,Females,83.23506264
Brisbane - East,2019/03/01,45-54 years,Males,93.49589447
Brisbane - East,2019/03/01,45-54 years,Females,85.96149302
Brisbane - East,2019/03/01,55-64 years,Males,77.7945518
Brisbane - East,2019/03/01,55-64 years,Females,66.29429723
Brisbane - East,2019/03/01,65 years and over,Males,20.62975441
Brisbane - East,2019/03/01,65 years and over,Females,10.63350502
Brisbane - East,2019/02/01,15-24 years,Males,74.61288514
Brisbane - East,2019/02/01,15-24 years,Females,75.97731175
Brisbane - East,2019/02/01,25-34 years,Males,94.56318773
Brisbane - East,2019/02/01,25-34 years,Females,83.33964544
Brisbane - East,2019/02/01,35-44 years,Males,95.13147008
Brisbane - East,2019/02/01,35-44 years,Females,83.41590663
Brisbane - East,2019/02/01,45-54 years,Males,93.0745743
Brisbane - East,2019/02/01,45-54 years,Females,85.66288177
Brisbane - East,2019/02/01,55-64 years,Males,77.99893957
Brisbane - East,2019/02/01,55-64 years,Females,66.54384914
Brisbane - East,2019/02/01,65 years and over,Males,20.791996
Brisbane - East,2019/02/01,65 years and over,Females,10.79197821
Brisbane - East,2019/01/01,15-24 years,Males,73.96980132
Brisbane - East,2019/01/01,15-24 years,Females,75.46987437
Brisbane - East,2019/01/01,25-34 years,Males,94.03707117
Brisbane - East,2019/01/01,25-34 years,Females,82.19735538
Brisbane - East,2019/01/01,35-44 years,Males,94.8420663
Brisbane - East,2019/01/01,35-44 years,Females,82.40597326
Brisbane - East,2019/01/01,45-54 years,Males,92.45517203
Brisbane - East,2019/01/01,45-54 years,Females,84.50637546
Brisbane - East,2019/01/01,55-64 years,Males,77.31259623
Brisbane - East,2019/01/01,55-64 years,Females,65.24146901
Brisbane - East,2019/01/01,65 years and over,Males,19.94305362
Brisbane - East,2019/01/01,65 years and over,Females,10.45342387
Brisbane - East,2018/12/01,15-24 years,Males,75.09287927
Brisbane - East,2018/12/01,15-24 years,Females,76.28384707
Brisbane - East,2018/12/01,25-34 years,Males,94.24405776
Brisbane - East,2018/12/01,25-34 years,Females,82.63449299
Brisbane - East,2018/12/01,35-44 years,Males,95.34768782
Brisbane - East,2018/12/01,35-44 years,Females,83.60589713
Brisbane - East,2018/12/01,45-54 years,Males,92.50393487
Brisbane - East,2018/12/01,45-54 years,Females,85.61840931
Brisbane - East,2018/12/01,55-64 years,Males,78.71024323
Brisbane - East,2018/12/01,55-64 years,Females,66.50730642
Brisbane - East,2018/12/01,65 years and over,Males,21.1601838
Brisbane - East,2018/12/01,65 years and over,Females,11.44885647
Brisbane - East,2018/11/01,15-24 years,Males,73.26785148
Brisbane - East,2018/11/01,15-24 years,Females,74.804604
Brisbane - East,2018/11/01,25-34 years,Males,94.08578771
Brisbane - East,2018/11/01,25-34 years,Females,82.42724997
Brisbane - East,2018/11/01,35-44 years,Males,95.50232332
Brisbane - East,2018/11/01,35-44 years,Females,83.5999966
Brisbane - East,2018/11/01,45-54 years,Males,92.10925454
Brisbane - East,2018/11/01,45-54 years,Females,85.92566036
Brisbane - East,2018/11/01,55-64 years,Males,78.79344982
Brisbane - East,2018/11/01,55-64 years,Females,66.18082517
Brisbane - East,2018/11/01,65 years and over,Males,21.34021124
Brisbane - East,2018/11/01,65 years and over,Females,11.791723
Brisbane - East,2018/10/01,15-24 years,Males,72.22000218
Brisbane - East,2018/10/01,15-24 years,Females,73.70433549
Brisbane - East,2018/10/01,25-34 years,Males,93.72501778
Brisbane - East,2018/10/01,25-34 years,Females,82.0870204
Brisbane - East,2018/10/01,35-44 years,Males,95.58277641
Brisbane - East,2018/10/01,35-44 years,Females,83.15412183
Brisbane - East,2018/10/01,45-54 years,Males,91.77701829
Brisbane - East,2018/10/01,45-54 years,Females,85.83762192
Brisbane - East,2018/10/01,55-64 years,Males,78.12915332
Brisbane - East,2018/10/01,55-64 years,Females,65.53209831
Brisbane - East,2018/10/01,65 years and over,Males,21.26368765
Brisbane - East,2018/10/01,65 years and over,Females,11.71984024
Brisbane - East,2018/09/01,15-24 years,Males,72.35596047
Brisbane - East,2018/09/01,15-24 years,Females,73.04786638
Brisbane - East,2018/09/01,25-34 years,Males,93.37937269
Brisbane - East,2018/09/01,25-34 years,Females,81.83933458
Brisbane - East,2018/09/01,35-44 years,Males,95.69386964
Brisbane - East,2018/09/01,35-44 years,Females,82.83927613
Brisbane - East,2018/09/01,45-54 years,Males,91.70169894
Brisbane - East,2018/09/01,45-54 years,Females,85.86680718
Brisbane - East,2018/09/01,55-64 years,Males,77.61390373
Brisbane - East,2018/09/01,55-64 years,Females,65.31221572
Brisbane - East,2018/09/01,65 years and over,Males,21.35185612
Brisbane - East,2018/09/01,65 years and over,Females,11.83615331
Brisbane - East,2018/08/01,15-24 years,Males,73.35445152
Brisbane - East,2018/08/01,15-24 years,Females,74.08592791
Brisbane - East,2018/08/01,25-34 years,Males,93.33566113
Brisbane - East,2018/08/01,25-34 years,Females,82.27602919
Brisbane - East,2018/08/01,35-44 years,Males,95.99827813
Brisbane - East,2018/08/01,35-44 years,Females,83.24498839
Brisbane - East,2018/08/01,45-54 years,Males,92.3724534
Brisbane - East,2018/08/01,45-54 years,Females,86.67375687
Brisbane - East,2018/08/01,55-64 years,Males,78.01538586
Brisbane - East,2018/08/01,55-64 years,Females,66.26046362
Brisbane - East,2018/08/01,65 years and over,Males,22.12362687
Brisbane - East,2018/08/01,65 years and over,Females,12.2479384
Brisbane - East,2018/07/01,15-24 years,Males,73.93670223
Brisbane - East,2018/07/01,15-24 years,Females,73.98035816
Brisbane - East,2018/07/01,25-34 years,Males,92.90726016
Brisbane - East,2018/07/01,25-34 years,Females,81.57728694
Brisbane - East,2018/07/01,35-44 years,Males,95.8928536
Brisbane - East,2018/07/01,35-44 years,Females,82.85398628
Brisbane - East,2018/07/01,45-54 years,Males,92.58904768
Brisbane - East,2018/07/01,45-54 years,Females,86.65362127
Brisbane - East,2018/07/01,55-64 years,Males,76.72224918
Brisbane - East,2018/07/01,55-64 years,Females,65.48213902
Brisbane - East,2018/07/01,65 years and over,Males,21.6923429
Brisbane - East,2018/07/01,65 years and over,Females,11.92731943
Brisbane - East,2018/06/01,15-24 years,Males,74.68983681
Brisbane - East,2018/06/01,15-24 years,Females,74.70939122
Brisbane - East,2018/06/01,25-34 years,Males,92.50911795
Brisbane - East,2018/06/01,25-34 years,Females,81.35954371
Brisbane - East,2018/06/01,35-44 years,Males,95.85046353
Brisbane - East,2018/06/01,35-44 years,Females,82.84648309
Brisbane - East,2018/06/01,45-54 years,Males,92.8465192
Brisbane - East,2018/06/01,45-54 years,Females,86.82403757
Brisbane - East,2018/06/01,55-64 years,Males,76.14601005
Brisbane - East,2018/06/01,55-64 years,Females,65.41565989
Brisbane - East,2018/06/01,65 years and over,Males,21.60799235
Brisbane - East,2018/06/01,65 years and over,Females,11.95483039
Brisbane - East,2018/05/01,15-24 years,Males,74.9880889
Brisbane - East,2018/05/01,15-24 years,Females,75.13899827
Brisbane - East,2018/05/01,25-34 years,Males,92.3123329
Brisbane - East,2018/05/01,25-34 years,Females,81.13647087
Brisbane - East,2018/05/01,35-44 years,Males,95.81059909
Brisbane - East,2018/05/01,35-44 years,Females,82.91374911
Brisbane - East,2018/05/01,45-54 years,Males,93.15431571
Brisbane - East,2018/05/01,45-54 years,Females,86.88404838
Brisbane - East,2018/05/01,55-64 years,Males,75.49667523
Brisbane - East,2018/05/01,55-64 years,Females,65.17351365
Brisbane - East,2018/05/01,65 years and over,Males,21.24469074
Brisbane - East,2018/05/01,65 years and over,Females,11.889216
Brisbane - East,2018/04/01,15-24 years,Males,76.25776187
Brisbane - East,2018/04/01,15-24 years,Females,75.07058147
Brisbane - East,2018/04/01,25-34 years,Males,92.3396119
Brisbane - East,2018/04/01,25-34 years,Females,81.60691154
Brisbane - East,2018/04/01,35-44 years,Males,95.71519215
Brisbane - East,2018/04/01,35-44 years,Females,82.69366881
Brisbane - East,2018/04/01,45-54 years,Males,93.46754308
Brisbane - East,2018/04/01,45-54 years,Females,86.90563944
Brisbane - East,2018/04/01,55-64 years,Males,75.038024
Brisbane - East,2018/04/01,55-64 years,Females,64.84044208
Brisbane - East,2018/04/01,65 years and over,Males,20.69558626
Brisbane - East,2018/04/01,65 years and over,Females,11.74580871
Brisbane - East,2018/03/01,15-24 years,Males,76.39790098
Brisbane - East,2018/03/01,15-24 years,Females,75.99274075
Brisbane - East,2018/03/01,25-34 years,Males,92.51297408
Brisbane - East,2018/03/01,25-34 years,Females,82.13817857
Brisbane - East,2018/03/01,35-44 years,Males,95.61363458
Brisbane - East,2018/03/01,35-44 years,Females,82.93185341
Brisbane - East,2018/03/01,45-54 years,Males,93.76463052
Brisbane - East,2018/03/01,45-54 years,Females,86.75120693
Brisbane - East,2018/03/01,55-64 years,Males,74.83401998
Brisbane - East,2018/03/01,55-64 years,Females,64.85940497
Brisbane - East,2018/03/01,65 years and over,Males,20.48655397
Brisbane - East,2018/03/01,65 years and over,Females,11.67929575
Brisbane - East,2018/02/01,15-24 years,Males,78.12402148
Brisbane - East,2018/02/01,15-24 years,Females,77.5633858
Brisbane - East,2018/02/01,25-34 years,Males,93.07278055
Brisbane - East,2018/02/01,25-34 years,Females,83.30732133
Brisbane - East,2018/02/01,35-44 years,Males,95.64823123
Brisbane - East,2018/02/01,35-44 years,Females,83.56339474
Brisbane - East,2018/02/01,45-54 years,Males,94.19957509
Brisbane - East,2018/02/01,45-54 years,Females,86.89704368
Brisbane - East,2018/02/01,55-64 years,Males,75.56022374
Brisbane - East,2018/02/01,55-64 years,Females,65.62374314
Brisbane - East,2018/02/01,65 years and over,Males,20.62453113
Brisbane - East,2018/02/01,65 years and over,Females,11.64167866
Brisbane - East,2018/01/01,15-24 years,Males,77.41992602
Brisbane - East,2018/01/01,15-24 years,Females,77.00813343
Brisbane - East,2018/01/01,25-34 years,Males,92.51520614
Brisbane - East,2018/01/01,25-34 years,Females,82.65050547
Brisbane - East,2018/01/01,35-44 years,Males,95.2280365
