Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Participation rate (%)
Capital Region,2024/04/01,25-34 years,Females,85.07163678
Capital Region,2024/04/01,35-44 years,Males,90.00686212
Capital Region,2024/04/01,35-44 years,Females,88.05331437
Capital Region,2024/04/01,45-54 years,Males,85.73800963
Capital Region,2024/04/01,45-54 years,Females,82.27799089
Capital Region,2024/04/01,55-64 years,Males,68.73645638
Capital Region,2024/04/01,55-64 years,Females,65.00054571
Capital Region,2024/04/01,65 years and over,Males,21.69088731
Capital Region,2024/04/01,65 years and over,Females,12.169023
Capital Region,2024/03/01,15-24 years,Males,77.30719981
Capital Region,2024/03/01,15-24 years,Females,77.13762796
Capital Region,2024/03/01,25-34 years,Males,93.64402772
Capital Region,2024/03/01,25-34 years,Females,84.54449571
Capital Region,2024/03/01,35-44 years,Males,89.98851534
Capital Region,2024/03/01,35-44 years,Females,88.00624447
Capital Region,2024/03/01,45-54 years,Males,86.06477921
Capital Region,2024/03/01,45-54 years,Females,82.13194413
Capital Region,2024/03/01,55-64 years,Males,69.96121244
Capital Region,2024/03/01,55-64 years,Females,65.00989414
Capital Region,2024/03/01,65 years and over,Males,21.34766177
Capital Region,2024/03/01,65 years and over,Females,12.27218209
Capital Region,2024/02/01,15-24 years,Males,76.4165278
Capital Region,2024/02/01,15-24 years,Females,77.32833569
Capital Region,2024/02/01,25-34 years,Males,93.86632357
Capital Region,2024/02/01,25-34 years,Females,84.18841834
Capital Region,2024/02/01,35-44 years,Males,89.93648157
Capital Region,2024/02/01,35-44 years,Females,87.74076717
Capital Region,2024/02/01,45-54 years,Males,86.22787842
Capital Region,2024/02/01,45-54 years,Females,81.42419787
Capital Region,2024/02/01,55-64 years,Males,70.35713658
Capital Region,2024/02/01,55-64 years,Females,64.71433877
Capital Region,2024/02/01,65 years and over,Males,21.00212286
Capital Region,2024/02/01,65 years and over,Females,12.34392162
Capital Region,2024/01/01,15-24 years,Males,76.5307632
Capital Region,2024/01/01,15-24 years,Females,77.27269769
Capital Region,2024/01/01,25-34 years,Males,93.87679283
Capital Region,2024/01/01,25-34 years,Females,83.13188254
Capital Region,2024/01/01,35-44 years,Males,89.6030622
Capital Region,2024/01/01,35-44 years,Females,86.91231999
Capital Region,2024/01/01,45-54 years,Males,86.02583772
Capital Region,2024/01/01,45-54 years,Females,80.35380419
Capital Region,2024/01/01,55-64 years,Males,69.85850047
Capital Region,2024/01/01,55-64 years,Females,63.85439361
Capital Region,2024/01/01,65 years and over,Males,19.67762627
Capital Region,2024/01/01,65 years and over,Females,12.05864317
Capital Region,2023/12/01,15-24 years,Males,78.01380573
Capital Region,2023/12/01,15-24 years,Females,78.1478797
Capital Region,2023/12/01,25-34 years,Males,94.54487132
Capital Region,2023/12/01,25-34 years,Females,83.65713997
Capital Region,2023/12/01,35-44 years,Males,90.26934909
Capital Region,2023/12/01,35-44 years,Females,87.53629443
Capital Region,2023/12/01,45-54 years,Males,86.66756493
Capital Region,2023/12/01,45-54 years,Females,81.24026501
Capital Region,2023/12/01,55-64 years,Males,71.15726653
Capital Region,2023/12/01,55-64 years,Females,64.85397252
Capital Region,2023/12/01,65 years and over,Males,20.01032468
