Date,Attribute,Value
1997/10/29,$50 notes,9199.37
1997/10/29,$100 notes,8657.34
1997/11/26,$5 notes,356.14
1997/11/26,$10 notes,621.73
1997/11/26,$20 notes,1845.25
1997/11/26,$50 notes,9291.55
1997/11/26,$100 notes,8796.12
1997/12/31,$5 notes,372.61
1997/12/31,$10 notes,648.04
1997/12/31,$20 notes,1964.18
1997/12/31,$50 notes,9842.85
1997/12/31,$100 notes,9083.88
1998/01/28,$5 notes,356.29
1998/01/28,$10 notes,616.55
1998/01/28,$20 notes,1844.34
1998/01/28,$50 notes,9494.11
1998/01/28,$100 notes,8985.44
1998/02/25,$5 notes,354.15
1998/02/25,$10 notes,613.34
1998/02/25,$20 notes,1814.55
1998/02/25,$50 notes,9355.54
1998/02/25,$100 notes,8986.76
1998/03/25,$5 notes,356.51
1998/03/25,$10 notes,613.65
1998/03/25,$20 notes,1813.94
1998/03/25,$50 notes,9399.06
1998/03/25,$100 notes,9031.45
1998/04/29,$5 notes,360.94
1998/04/29,$10 notes,616.57
1998/04/29,$20 notes,1832.33
1998/04/29,$50 notes,9541.84
1998/04/29,$100 notes,9129.80
1998/05/27,$5 notes,358.70
1998/05/27,$10 notes,612.85
1998/05/27,$20 notes,1810.85
1998/05/27,$50 notes,9498.47
1998/05/27,$100 notes,9182.18
1998/06/24,$5 notes,360.62
1998/06/24,$10 notes,616.54
1998/06/24,$20 notes,1811.98
1998/06/24,$50 notes,9553.32
1998/06/24,$100 notes,9270.57
1998/07/29,$5 notes,362.58
1998/07/29,$10 notes,618.44
1998/07/29,$20 notes,1819.44
1998/07/29,$50 notes,9668.88
1998/07/29,$100 notes,9394.52
1998/08/26,$5 notes,364.73
1998/08/26,$10 notes,622.85
1998/08/26,$20 notes,1827.26
1998/08/26,$50 notes,9729.88
1998/08/26,$100 notes,9478.04
1998/09/30,$5 notes,364.96
1998/09/30,$10 notes,626.37
1998/09/30,$20 notes,1845.72
1998/09/30,$50 notes,9920.89
1998/09/30,$100 notes,9621.54
1998/10/28,$5 notes,365.60
1998/10/28,$10 notes,629.49
1998/10/28,$20 notes,1848.21
1998/10/28,$50 notes,9940.83
1998/10/28,$100 notes,9709.64
1998/11/25,$5 notes,369.53
1998/11/25,$10 notes,634.13
1998/11/25,$20 notes,1860.12
1998/11/25,$50 notes,10005.24
1998/11/25,$100 notes,9784.66
1998/12/30,$5 notes,391.71
1998/12/30,$10 notes,670.52
1998/12/30,$20 notes,2038.35
1998/12/30,$50 notes,10892.68
1998/12/30,$100 notes,10123.46
1999/01/27,$5 notes,370.32
