Date,Attribute,Value
2015/05/31,$50 notes,30215.62
2015/05/31,$100 notes,29711.31
2015/06/30,$5 notes,822.71
2015/06/30,$10 notes,1160.54
2015/06/30,$20 notes,3133.41
2015/06/30,$50 notes,30413.98
2015/06/30,$100 notes,29950.78
2015/07/31,$5 notes,830.61
2015/07/31,$10 notes,1168.40
2015/07/31,$20 notes,3128.97
2015/07/31,$50 notes,30951.30
2015/07/31,$100 notes,30680.14
2015/08/31,$5 notes,831.57
2015/08/31,$10 notes,1178.35
2015/08/31,$20 notes,3140.70
2015/08/31,$50 notes,31119.57
2015/08/31,$100 notes,30859.60
2015/09/30,$5 notes,836.46
2015/09/30,$10 notes,1182.26
2015/09/30,$20 notes,3180.23
2015/09/30,$50 notes,31557.95
2015/09/30,$100 notes,31299.10
2015/10/31,$5 notes,836.37
2015/10/31,$10 notes,1186.14
2015/10/31,$20 notes,3192.01
2015/10/31,$50 notes,31736.79
2015/10/31,$100 notes,31458.59
2015/11/30,$5 notes,844.42
2015/11/30,$10 notes,1190.08
2015/11/30,$20 notes,3211.71
2015/11/30,$50 notes,31984.02
2015/11/30,$100 notes,31787.90
2015/12/31,$5 notes,879.37
2015/12/31,$10 notes,1236.00
2015/12/31,$20 notes,3439.44
2015/12/31,$50 notes,33921.85
2015/12/31,$100 notes,32447.20
2016/01/31,$5 notes,872.83
2016/01/31,$10 notes,1219.13
2016/01/31,$20 notes,3239.78
2016/01/31,$50 notes,32151.06
2016/01/31,$100 notes,32502.77
2016/02/29,$5 notes,857.77
2016/02/29,$10 notes,1209.61
2016/02/29,$20 notes,3174.26
2016/02/29,$50 notes,31861.98
2016/02/29,$100 notes,32487.81
2016/03/31,$5 notes,871.43
2016/03/31,$10 notes,1220.68
2016/03/31,$20 notes,3312.50
2016/03/31,$50 notes,32492.23
2016/03/31,$100 notes,32510.07
2016/04/30,$5 notes,862.66
2016/04/30,$10 notes,1206.84
2016/04/30,$20 notes,3252.72
2016/04/30,$50 notes,32219.37
2016/04/30,$100 notes,32405.57
2016/05/31,$5 notes,854.32
2016/05/31,$10 notes,1197.16
2016/05/31,$20 notes,3211.27
2016/05/31,$50 notes,32116.60
2016/05/31,$100 notes,32528.01
2016/06/30,$5 notes,851.37
2016/06/30,$10 notes,1195.81
2016/06/30,$20 notes,3195.82
2016/06/30,$50 notes,32145.34
2016/06/30,$100 notes,32820.42
2016/07/31,$5 notes,858.81
2016/07/31,$10 notes,1208.22
2016/07/31,$20 notes,3190.85
2016/07/31,$50 notes,32312.73
2016/07/31,$100 notes,33049.86
2016/08/31,$5 notes,858.96
2016/08/31,$10 notes,1208.66
2016/08/31,$20 notes,3183.96
2016/08/31,$50 notes,32510.31
2016/08/31,$100 notes,33107.96
2016/09/30,$5 notes,1011.34
2016/09/30,$10 notes,1271.84
2016/09/30,$20 notes,3250.15
2016/09/30,$50 notes,33090.38
2016/09/30,$100 notes,33305.64
2016/10/31,$5 notes,1005.45
2016/10/31,$10 notes,1265.42
2016/10/31,$20 notes,3247.89
2016/10/31,$50 notes,33170.54
2016/10/31,$100 notes,33395.18
2016/11/30,$5 notes,1027.09
2016/11/30,$10 notes,1283.92
2016/11/30,$20 notes,3299.53
2016/11/30,$50 notes,33475.21
2016/11/30,$100 notes,33873.62
2016/12/31,$5 notes,1057.75
2016/12/31,$10 notes,1288.57
2016/12/31,$20 notes,3505.69
2016/12/31,$50 notes,35341.43
2016/12/31,$100 notes,34646.10
2017/01/31,$5 notes,1077.34
2017/01/31,$10 notes,1287.91
2017/01/31,$20 notes,3342.34
2017/01/31,$50 notes,34011.05
2017/01/31,$100 notes,34308.68
2017/02/28,$5 notes,1049.89
2017/02/28,$10 notes,1267.93
2017/02/28,$20 notes,3270.71
2017/02/28,$50 notes,33640.36
2017/02/28,$100 notes,33907.13
2017/03/31,$5 notes,1057.74
2017/03/31,$10 notes,1283.70
2017/03/31,$20 notes,3298.02
2017/03/31,$50 notes,33888.79
2017/03/31,$100 notes,33562.43
2017/04/30,$5 notes,1078.42
2017/04/30,$10 notes,1297.43
2017/04/30,$20 notes,3386.21
2017/04/30,$50 notes,34641.44
2017/04/30,$100 notes,33667.92
2017/05/31,$5 notes,1075.89
2017/05/31,$10 notes,1286.79
2017/05/31,$20 notes,3300.99
2017/05/31,$50 notes,34246.55
2017/05/31,$100 notes,33476.45
2017/06/30,$5 notes,1055.49
2017/06/30,$10 notes,1283.54
2017/06/30,$20 notes,3285.73
2017/06/30,$50 notes,34309.32
2017/06/30,$100 notes,33689.09
2017/07/31,$5 notes,1052.64
2017/07/31,$10 notes,1317.26
2017/07/31,$20 notes,3305.59
2017/07/31,$50 notes,34551.91
2017/07/31,$100 notes,33787.41
2017/08/31,$5 notes,1076.83
2017/08/31,$10 notes,1324.01
2017/08/31,$20 notes,3306.44
2017/08/31,$50 notes,34723.64
2017/08/31,$100 notes,33772.82
2017/09/30,$5 notes,1068.30
2017/09/30,$10 notes,1410.37
2017/09/30,$20 notes,3351.54
2017/09/30,$50 notes,35165.24
2017/09/30,$100 notes,33801.30
2017/10/31,$5 notes,1045.66
2017/10/31,$10 notes,1403.29
2017/10/31,$20 notes,3362.04
2017/10/31,$50 notes,35404.23
2017/10/31,$100 notes,33563.95
2017/11/30,$5 notes,1057.51
2017/11/30,$10 notes,1416.10
2017/11/30,$20 notes,3421.61
2017/11/30,$50 notes,35930.53
2017/11/30,$100 notes,34189.20
2017/12/31,$5 notes,1079.85
2017/12/31,$10 notes,1429.01
2017/12/31,$20 notes,3580.71
2017/12/31,$50 notes,37431.91
2017/12/31,$100 notes,34671.61
2018/01/31,$5 notes,1093.81
2018/01/31,$10 notes,1417.56
2018/01/31,$20 notes,3364.65
2018/01/31,$50 notes,35673.58
2018/01/31,$100 notes,34313.17
2018/02/28,$5 notes,1104.76
2018/02/28,$10 notes,1405.51
2018/02/28,$20 notes,3335.75
2018/02/28,$50 notes,35484.08
2018/02/28,$100 notes,34091.47
2018/03/31,$5 notes,1095.39
2018/03/31,$10 notes,1405.68
2018/03/31,$20 notes,3420.47
2018/03/31,$50 notes,36114.96
2018/03/31,$100 notes,34386.59
2018/04/30,$5 notes,1079.42
2018/04/30,$10 notes,1382.07
2018/04/30,$20 notes,3366.28
2018/04/30,$50 notes,35759.50
2018/04/30,$100 notes,34308.27
2018/05/31,$5 notes,1063.45
2018/05/31,$10 notes,1343.41
2018/05/31,$20 notes,3299.70
2018/05/31,$50 notes,35475.46
2018/05/31,$100 notes,34243.74
2018/06/30,$5 notes,1050.81
2018/06/30,$10 notes,1329.97
2018/06/30,$20 notes,3262.75
2018/06/30,$50 notes,35515.62
2018/06/30,$100 notes,34405.93
2018/07/31,$5 notes,1039.41
2018/07/31,$10 notes,1332.78
2018/07/31,$20 notes,3304.91
2018/07/31,$50 notes,35532.13
2018/07/31,$100 notes,34777.34
2018/08/31,$5 notes,1027.83
2018/08/31,$10 notes,1348.55
2018/08/31,$20 notes,3351.74
2018/08/31,$50 notes,35921.23
2018/08/31,$100 notes,34789.90
2018/09/30,$5 notes,1006.35
2018/09/30,$10 notes,1356.38
2018/09/30,$20 notes,3382.06
2018/09/30,$50 notes,36911.44
2018/09/30,$100 notes,34931.21
2018/10/31,$5 notes,998.27
2018/10/31,$10 notes,1359.64
2018/10/31,$20 notes,3436.15
2018/10/31,$50 notes,38599.91
2018/10/31,$100 notes,35083.78
2018/11/30,$5 notes,1010.43
2018/11/30,$10 notes,1373.17
2018/11/30,$20 notes,3468.04
2018/11/30,$50 notes,39121.28
2018/11/30,$100 notes,35616.03
2018/12/31,$5 notes,1037.09
2018/12/31,$10 notes,1393.31
2018/12/31,$20 notes,3628.17
2018/12/31,$50 notes,38930.24
2018/12/31,$100 notes,36151.48
2019/01/31,$5 notes,1032.16
2019/01/31,$10 notes,1384.86
2019/01/31,$20 notes,3481.20
2019/01/31,$50 notes,38571.58
2019/01/31,$100 notes,36087.05
2019/02/28,$5 notes,1027.93
2019/02/28,$10 notes,1375.23
2019/02/28,$20 notes,3436.55
2019/02/28,$50 notes,38135.08
2019/02/28,$100 notes,36025.61
2019/03/31,$5 notes,1018.94
2019/03/31,$10 notes,1365.07
2019/03/31,$20 notes,3393.48
2019/03/31,$50 notes,38010.54
2019/03/31,$100 notes,35906.92
2019/04/30,$5 notes,1019.89
2019/04/30,$10 notes,1372.69
2019/04/30,$20 notes,3479.64
2019/04/30,$50 notes,38184.26
2019/04/30,$100 notes,36142.34
2019/05/31,$5 notes,1017.06
2019/05/31,$10 notes,1361.75
2019/05/31,$20 notes,3369.83
2019/05/31,$50 notes,37907.14
2019/05/31,$100 notes,35967.87
2019/06/30,$5 notes,1002.66
2019/06/30,$10 notes,1340.24
2019/06/30,$20 notes,3336.94
2019/06/30,$50 notes,38200.80
2019/06/30,$100 notes,36143.83
2019/07/31,$5 notes,995.72
2019/07/31,$10 notes,1341.91
2019/07/31,$20 notes,3350.85
2019/07/31,$50 notes,38385.59
2019/07/31,$100 notes,36411.43
2019/08/31,$5 notes,998.58
2019/08/31,$10 notes,1348.34
2019/08/31,$20 notes,3351.12
2019/08/31,$50 notes,38355.06
2019/08/31,$100 notes,36606.00
2019/09/30,$5 notes,996.66
2019/09/30,$10 notes,1355.92
2019/09/30,$20 notes,3587.17
2019/09/30,$50 notes,38276.99
2019/09/30,$100 notes,36801.49
2019/10/31,$5 notes,1007.29
2019/10/31,$10 notes,1367.60
2019/10/31,$20 notes,3683.94
2019/10/31,$50 notes,39020.56
2019/10/31,$100 notes,36946.10
2019/11/30,$5 notes,1028.93
2019/11/30,$10 notes,1397.80
2019/11/30,$20 notes,3669.31
2019/11/30,$50 notes,38897.68
2019/11/30,$100 notes,37397.28
2019/12/31,$5 notes,1063.19
2019/12/31,$10 notes,1445.74
2019/12/31,$20 notes,3768.80
2019/12/31,$50 notes,39472.91
2019/12/31,$100 notes,38205.79
2020/01/31,$5 notes,1060.04
2020/01/31,$10 notes,1440.14
2020/01/31,$20 notes,3714.71
2020/01/31,$50 notes,39211.36
2020/01/31,$100 notes,37894.49
2020/02/29,$5 notes,1055.45
2020/02/29,$10 notes,1422.78
2020/02/29,$20 notes,3664.44
2020/02/29,$50 notes,39245.07
2020/02/29,$100 notes,37741.84
2020/03/31,$5 notes,1051.56
2020/03/31,$10 notes,1417.13
2020/03/31,$20 notes,3689.02
2020/03/31,$50 notes,40142.57
2020/03/31,$100 notes,39030.13
2020/04/30,$5 notes,1044.19
2020/04/30,$10 notes,1406.59
2020/04/30,$20 notes,3634.69
2020/04/30,$50 notes,40442.33
2020/04/30,$100 notes,39174.83
2020/05/31,$5 notes,1039.28
2020/05/31,$10 notes,1399.58
2020/05/31,$20 notes,3594.07
2020/05/31,$50 notes,42170.63
2020/05/31,$100 notes,39880.70
2020/06/30,$5 notes,1033.33
2020/06/30,$10 notes,1385.58
2020/06/30,$20 notes,3631.06
2020/06/30,$50 notes,43625.97
2020/06/30,$100 notes,40426.44
2020/07/31,$5 notes,1029.42
2020/07/31,$10 notes,1380.87
2020/07/31,$20 notes,3735.63
2020/07/31,$50 notes,46388.49
2020/07/31,$100 notes,41502.40
2020/08/31,$5 notes,1026.97
2020/08/31,$10 notes,1371.35
2020/08/31,$20 notes,3727.57
2020/08/31,$50 notes,46927.42
2020/08/31,$100 notes,41760.90
2020/09/30,$5 notes,1022.76
2020/09/30,$10 notes,1367.14
2020/09/30,$20 notes,3705.13
2020/09/30,$50 notes,47113.80
2020/09/30,$100 notes,42114.44
2020/10/31,$5 notes,1025.70
2020/10/31,$10 notes,1371.93
2020/10/31,$20 notes,3697.51
2020/10/31,$50 notes,47589.20
2020/10/31,$100 notes,42783.82
2020/11/30,$5 notes,1029.66
2020/11/30,$10 notes,1375.83
2020/11/30,$20 notes,3675.68
2020/11/30,$50 notes,47783.15
2020/11/30,$100 notes,43053.68
2020/12/31,$5 notes,1043.90
2020/12/31,$10 notes,1413.72
2020/12/31,$20 notes,3826.85
2020/12/31,$50 notes,48877.18
2020/12/31,$100 notes,43399.90
2021/01/31,$5 notes,1039.69
2021/01/31,$10 notes,1405.30
2021/01/31,$20 notes,3800.18
2021/01/31,$50 notes,48568.66
2021/01/31,$100 notes,43315.73
2021/02/28,$5 notes,1036.71
2021/02/28,$10 notes,1401.28
2021/02/28,$20 notes,3760.78
2021/02/28,$50 notes,47939.46
2021/02/28,$100 notes,43182.68
2021/03/31,$5 notes,1032.49
2021/03/31,$10 notes,1392.12
2021/03/31,$20 notes,3718.61
2021/03/31,$50 notes,47381.76
2021/03/31,$100 notes,43249.24
2021/04/30,$5 notes,1030.72
2021/04/30,$10 notes,1387.17
2021/04/30,$20 notes,3687.73
2021/04/30,$50 notes,46870.72
2021/04/30,$100 notes,43267.18
2021/05/31,$5 notes,1026.85
2021/05/31,$10 notes,1385.05
2021/05/31,$20 notes,3622.59
2021/05/31,$50 notes,46455.28
2021/05/31,$100 notes,43230.90
2021/06/30,$5 notes,1023.46
2021/06/30,$10 notes,1377.88
2021/06/30,$20 notes,3580.70
2021/06/30,$50 notes,46181.26
2021/06/30,$100 notes,43321.59
2021/07/31,$5 notes,1026.97
2021/07/31,$10 notes,1371.53
2021/07/31,$20 notes,3566.70
2021/07/31,$50 notes,46444.14
2021/07/31,$100 notes,43539.23
2021/08/31,$5 notes,1028.11
2021/08/31,$10 notes,1366.60
2021/08/31,$20 notes,3629.02
2021/08/31,$50 notes,47495.84
2021/08/31,$100 notes,43851.00
2021/09/30,$5 notes,1035.85
2021/09/30,$10 notes,1368.08
2021/09/30,$20 notes,3708.13
2021/09/30,$50 notes,48565.78
2021/09/30,$100 notes,44346.87
2021/10/31,$5 notes,1043.46
2021/10/31,$10 notes,1373.43
2021/10/31,$20 notes,3786.77
2021/10/31,$50 notes,49591.45
2021/10/31,$100 notes,44929.43
2021/11/30,$5 notes,1050.07
2021/11/30,$10 notes,1379.75
2021/11/30,$20 notes,3793.15
2021/11/30,$50 notes,49873.50
2021/11/30,$100 notes,45363.89
2021/12/31,$5 notes,1051.70
2021/12/31,$10 notes,1400.59
2021/12/31,$20 notes,3827.67
2021/12/31,$50 notes,50479.65
2021/12/31,$100 notes,45993.26
2022/01/31,$5 notes,1046.77
2022/01/31,$10 notes,1396.34
2022/01/31,$20 notes,3795.35
2022/01/31,$50 notes,50240.02
2022/01/31,$100 notes,45957.87
2022/02/28,$5 notes,1045.00
2022/02/28,$10 notes,1392.12
2022/02/28,$20 notes,3774.25
2022/02/28,$50 notes,49680.74
2022/02/28,$100 notes,45936.55
2022/03/31,$5 notes,1044.68
2022/03/31,$10 notes,1393.18
2022/03/31,$20 notes,3809.87
2022/03/31,$50 notes,49617.52
2022/03/31,$100 notes,46168.18
2022/04/30,$5 notes,1047.38
2022/04/30,$10 notes,1402.30
2022/04/30,$20 notes,3835.39
2022/04/30,$50 notes,49814.23
2022/04/30,$100 notes,46399.71
2022/05/31,$5 notes,1045.19
2022/05/31,$10 notes,1397.98
2022/05/31,$20 notes,3816.54
2022/05/31,$50 notes,49698.24
2022/05/31,$100 notes,46437.99
2022/06/30,$5 notes,1040.23
2022/06/30,$10 notes,1391.56
2022/06/30,$20 notes,3790.60
2022/06/30,$50 notes,49593.30
2022/06/30,$100 notes,46529.18
2022/07/31,$5 notes,1039.00
2022/07/31,$10 notes,1386.36
2022/07/31,$20 notes,3775.53
2022/07/31,$50 notes,49319.97
2022/07/31,$100 notes,46699.58
2022/08/31,$5 notes,1034.42
2022/08/31,$10 notes,1379.99
2022/08/31,$20 notes,3749.99
2022/08/31,$50 notes,49362.03
2022/08/31,$100 notes,46887.80
2022/09/30,$5 notes,1030.95
2022/09/30,$10 notes,1381.54
2022/09/30,$20 notes,3756.71
2022/09/30,$50 notes,49502.06
2022/09/30,$100 notes,47082.46
2022/10/31,$5 notes,1029.63
2022/10/31,$10 notes,1382.27
2022/10/31,$20 notes,3740.07
2022/10/31,$50 notes,49412.49
2022/10/31,$100 notes,47150.83
2022/11/30,$5 notes,1026.51
2022/11/30,$10 notes,1389.65
2022/11/30,$20 notes,3742.24
2022/11/30,$50 notes,49300.74
2022/11/30,$100 notes,47532.14
2022/12/31,$5 notes,1043.58
2022/12/31,$10 notes,1408.32
2022/12/31,$20 notes,3843.48
2022/12/31,$50 notes,49878.97
2022/12/31,$100 notes,47820.83
2023/01/31,$5 notes,1038.66
2023/01/31,$10 notes,1403.39
2023/01/31,$20 notes,3818.14
2023/01/31,$50 notes,49566.26
2023/01/31,$100 notes,47785.57
2023/02/28,$5 notes,1034.79
2023/02/28,$10 notes,1397.05
2023/02/28,$20 notes,3798.35
2023/02/28,$50 notes,48937.19
2023/02/28,$100 notes,47750.16
2023/03/31,$5 notes,1032.66
2023/03/31,$10 notes,1399.90
2023/03/31,$20 notes,3768.79
2023/03/31,$50 notes,48411.20
2023/03/31,$100 notes,47553.62
2023/04/30,$5 notes,1030.89
2023/04/30,$10 notes,1403.28
2023/04/30,$20 notes,3754.50
2023/04/30,$50 notes,48321.88
2023/04/30,$100 notes,47705.15
2023/05/31,$5 notes,1025.61
2023/05/31,$10 notes,1396.94
2023/05/31,$20 notes,3726.33
2023/05/31,$50 notes,47878.10
2023/05/31,$100 notes,47634.71
2023/06/30,$5 notes,1022.10
2023/06/30,$10 notes,1389.20
2023/06/30,$20 notes,3698.82
2023/06/30,$50 notes,47515.25
2023/06/30,$100 notes,47659.26
2023/07/31,$5 notes,1019.74
2023/07/31,$10 notes,1388.19
2023/07/31,$20 notes,3682.18
2023/07/31,$50 notes,46929.74
2023/07/31,$100 notes,47663.72
2023/08/31,$5 notes,1014.41
2023/08/31,$10 notes,1384.44
2023/08/31,$20 notes,3654.05
2023/08/31,$50 notes,46830.73
2023/08/31,$100 notes,47640.59
2023/09/30,$5 notes,1009.38
2023/09/30,$10 notes,1386.07
2023/09/30,$20 notes,3641.76
2023/09/30,$50 notes,46792.98
2023/09/30,$100 notes,47792.10
2023/10/31,$5 notes,1008.54
2023/10/31,$10 notes,1388.83
2023/10/31,$20 notes,3630.32
2023/10/31,$50 notes,46752.00
2023/10/31,$100 notes,47970.06
2023/11/30,$5 notes,1018.22
2023/11/30,$10 notes,1407.89
2023/11/30,$20 notes,3629.63
2023/11/30,$50 notes,46990.36
2023/11/30,$100 notes,48150.62
2023/12/31,$5 notes,1028.20
2023/12/31,$10 notes,1417.16
2023/12/31,$20 notes,3717.52
2023/12/31,$50 notes,47770.35
2023/12/31,$100 notes,48436.13
2024/01/31,$5 notes,1023.09
2024/01/31,$10 notes,1416.53
2024/01/31,$20 notes,3706.63
2024/01/31,$50 notes,47335.71
2024/01/31,$100 notes,48399.83
2024/02/29,$5 notes,1021.11
2024/02/29,$10 notes,1413.19
2024/02/29,$20 notes,3683.32
2024/02/29,$50 notes,46816.54
2024/02/29,$100 notes,48218.37
2024/03/31,$5 notes,1040.64
2024/03/31,$10 notes,1440.06
2024/03/31,$20 notes,3739.79
2024/03/31,$50 notes,46922.68
2024/03/31,$100 notes,48257.37
2024/04/30,$5 notes,1038.52
2024/04/30,$10 notes,1435.42
2024/04/30,$20 notes,3713.48
2024/04/30,$50 notes,47011.61
2024/04/30,$100 notes,48434.99
2024/05/31,$5 notes,1036.05
2024/05/31,$10 notes,1431.20
2024/05/31,$20 notes,3702.23
2024/05/31,$50 notes,46784.86
2024/05/31,$100 notes,48237.78
2024/06/30,$5 notes,1034.28
2024/06/30,$10 notes,1428.36
2024/06/30,$20 notes,3677.94
2024/06/30,$50 notes,46537.06
2024/06/30,$100 notes,48087.46
2024/07/31,$5 notes,1032.56
2024/07/31,$10 notes,1426.03
2024/07/31,$20 notes,3653.27
2024/07/31,$50 notes,46414.22
2024/07/31,$100 notes,48146.15
2024/08/31,$5 notes,1032.80
2024/08/31,$10 notes,1422.72
2024/08/31,$20 notes,3632.03
2024/08/31,$50 notes,46253.04
2024/08/31,$100 notes,48184.96
2024/09/30,$5 notes,1041.09
2024/09/30,$10 notes,1434.18
2024/09/30,$20 notes,3663.95
2024/09/30,$50 notes,46309.75
2024/09/30,$100 notes,48273.63
2024/10/31,$5 notes,1041.12
2024/10/31,$10 notes,1441.35
2024/10/31,$20 notes,3695.68
2024/10/31,$50 notes,46614.52
2024/10/31,$100 notes,48461.42
2024/11/30,$5 notes,1052.72
2024/11/30,$10 notes,1449.43
2024/11/30,$20 notes,3733.70
2024/11/30,$50 notes,47156.28
2024/11/30,$100 notes,48806.34
2024/12/31,$5 notes,1065.10
2024/12/31,$10 notes,1462.51
2024/12/31,$20 notes,3796.45
2024/12/31,$50 notes,47826.51
2024/12/31,$100 notes,49548.02
2025/01/31,$5 notes,1064.39
2025/01/31,$10 notes,1463.38
2025/01/31,$20 notes,3769.79
2025/01/31,$50 notes,47556.11
2025/01/31,$100 notes,49762.62
2025/02/28,$5 notes,1059.47
2025/02/28,$10 notes,1459.06
2025/02/28,$20 notes,3742.92
2025/02/28,$50 notes,47325.86
2025/02/28,$100 notes,49737.33
2025/03/31,$5 notes,1057.66
2025/03/31,$10 notes,1462.63
2025/03/31,$20 notes,3727.23
2025/03/31,$50 notes,47065.49
2025/03/31,$100 notes,49738.98
2025/04/30,$5 notes,1065.19
2025/04/30,$10 notes,1474.11
2025/04/30,$20 notes,3799.37
2025/04/30,$50 notes,47392.72
2025/04/30,$100 notes,50067.74
2025/05/31,$5 notes,1062.38
2025/05/31,$10 notes,1466.38
2025/05/31,$20 notes,3774.09
2025/05/31,$50 notes,47237.49
2025/05/31,$100 notes,50135.52
2025/06/30,$5 notes,1057.46
2025/06/30,$10 notes,1464.15
2025/06/30,$20 notes,3762.83
2025/06/30,$50 notes,47277.07
2025/06/30,$100 notes,50251.32
2025/07/31,$5 notes,1050.09
2025/07/31,$10 notes,1462.51
2025/07/31,$20 notes,3743.53
2025/07/31,$50 notes,47343.81
2025/07/31,$100 notes,50379.04
2025/08/31,$5 notes,1050.32
2025/08/31,$10 notes,1458.87
2025/08/31,$20 notes,3726.82
2025/08/31,$50 notes,47720.31
2025/08/31,$100 notes,50567.76
2025/09/30,$5 notes,1054.35
2025/09/30,$10 notes,1454.54
2025/09/30,$20 notes,3948.13
2025/09/30,$50 notes,47995.28
2025/09/30,$100 notes,50766.37
